Status,Ban,Deck,Number,Type,Player(s),Name,Cost,,VPs,Prerequisites,Passing Left,Card Category,Text
X,,C,33,Minor Improvement,,Greening Plan,3 Food,,,,,Points Provider,"During scoring, if you then have at least 2/4/5/6 unplanted fields, you get 1/2/3/5 bonus points."
?,,C,34,Minor Improvement,,Elephantgrass Plant,"2 Clay,1 Stone",,,2 Occupations,,Points Provider,"Immediately after each harvest, you can use this card to exchange exactly 1 reed for 1 bonus point."
V,,C,35,Minor Improvement,,Lantern House,1 Wood,,7,No Occupations,,Points Provider,"During scoring, you get 1 negative point for each card left in your hand. You cannot discard cards from your hand unplayed. If you already have, you cannot play this card."
X,,C,36,Minor Improvement,,Clay Deposit,2 Food,,,1 Occupation,,Points Provider,"Immediately after each time you use a clay accumulation space, you can exchange 1 clay for 1 bonus point. If you do, place the clay on the accumulation space."
V,,C,37,Minor Improvement,,Dwelling Mound,1 Food,,3,Play in Round 3 or Before,,Points Provider,"From now on, you must pay 1 food for each new field tile that you place in your farmyard."
X,,C,38,Minor Improvement,,Christianity,,,2,Exactly 1 Sheep,,Points Provider,"When you play this card, all other players get 1 food each."
,,C,39,Minor Improvement,,Studio Boat,1 Wood,,,1 Occupation,,Points Provider,"Each time you use the ""Traveling Players"" accumulation space, you also get 1 bonus point. In games with 1-3 players, this card is considered ""Traveling Players"" (same effect as ""Fishing"")."
X,,C,40,Minor Improvement,,Canvas Sack,,1 Grain/1 Reed,1,No Occupations,,Goods Provider,"When you play this card paying grain/reed for it, you immediately get 1 vegetable/4 wood."
V,,C,41,Minor Improvement,,Farm Store,"2 Wood,2 Clay",,,,,Goods Provider,"After the feeding phase of each harvest, you can exchange exactly 1 food for 2 different building resources of your choice or 1 vegetable."
V,,C,42,Minor Improvement,,Ravenous Hunger,1 Grain,,,,,Goods Provider,"Immediately after each time you use the ""Vegetable Seeds"" action space, you can place another person on an accumulation space and get 1 additional good of the accumulating type."
X,,C,43,Minor Improvement,,Farm Building,"1 Clay,1 Reed",,1,,,Food Provider,"Each time you build a major improvement, place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food."
V,,C,44,Minor Improvement,,Chicken Coop,,"2 Wood/2 Clay,1 Reed",1,,,Food Provider,"Place 1 food on each of the next 8 round spaces. At the start of these rounds, you get the food."
X,,C,45,Minor Improvement,,Stew,1 Clay,,,,,Food Provider,"Each time you use the ""Day Laborer"" action space, also place 1 food on each of the next 4 round spaces. At the start of these rounds, you get the food."
,,C,46,Minor Improvement,,Mandoline,1 Wood,,,,,Food Provider,"Once per round, you can pay 1 vegetable to get 1 bonus point. If you do, place 1 food on each of the next 2 round spaces. At the start of these rounds, you get the food."
X,,C,47,Minor Improvement,,Garden Claw,1 Wood,,,,,Food Provider,"Place 1 food on each remaining round space, up to three times the number of planted fields you have. At the start of these rounds, you get the food."
X,,C,48,Minor Improvement,,Farmstead,,,,1 Occupation,,Food Provider,"After each turn in which you make at least one unused farmyard space used, you get 1 food."
?,,C,49,Minor Improvement,,Beer Stall,1 Wood,,,,,Food Provider,"In the feeding phase of each harvest, for each empty unfenced stable you have, you can exchange 1 grain for 5 food."
X,,C,50,Minor Improvement,,Stable Yard,,,1,3 Stables and 3 Pastures,,Food Provider,"When you play this card, you immediately get 1 food for each completed round left to play. At any time, you can exchange 1 sheep plus 1 wild boar for 1 cattle."
V,,C,51,Minor Improvement,,Fishing Net,1 Reed,,1,,,Food Provider,"Each time another player uses the ""Fishing"" accumulation space, they must first pay you 1 food. Then, in the returning home phase of that round, place 2 food on ""Fishing""."
X,,C,52,Minor Improvement,,Huntsman's Hat,1 Reed,,1,Cooking Improvement,,Food Provider,"For each new wild boar you get from the effect of an action space, you also get 1 food."
,,C,53,Minor Improvement,,Gypsy's Crock,2 Clay,,1,,,Food Provider,"Each time you use a cooking improvement to turn 2 goods into food at the same time, you get 1 additional food."
?,,C,54,Minor Improvement,,Market Stall,,1 Stable from Your Supply,,,,Food Provider,"After the field phase of each harvest, you can exchange 1 grain plus 1 fence (both from your supply) for 5 food."
X,,C,55,Minor Improvement,,Studio,"1 Clay,1 Reed",,1,,,Food Provider,"In the feeding phase of each harvest, you can use this card to turn exactly 1 wood/clay/stone into 2/2/3 food."
V,,C,56,Minor Improvement,,Feed Fence,1 Wood,,,,,Food Provider,"For each new stable you build, you get 1 food—for your last one, get 3 food. Each time you build stables, you can build exactly 1 stable for 1 clay instead of wood."
,,C,57,Minor Improvement,,Crudité,,,,,,Food Provider,"When you play this card, you can immediately buy exactly 1 vegetable for 3 food. At any time, you can discard 1 vegetable on top of another vegetable in a field to get 4 food."
X,,C,58,Minor Improvement,,Woodcraft,,,,1 Occupation,,Food Provider,"Each time you use a wood accumulation space, if immediately afterward you have at most 5 wood in your supply, you get 1 food."
V,,C,59,Minor Improvement,,Schnapps Distillery,"2 Stone,1 Vegetable",,2,,,Food Provider,"In each feeding phase, you can use this card to turn exactly 1 vegetable into 5 food. During scoring, you get 1 bonus point each for your 5th and 6th vegetable."
,,C,60,Minor Improvement,,Small Potter's Oven,2 Clay,,5,Return the Clay/Stone Oven,,Food Provider,"When you play this card, you immediately get 5 food. Each time before you get a ""Bake Bread"" action, you can build the ""Clay Oven"" or ""stone Oven"" major improvement."
,,C,61,Minor Improvement,,Beer Stein,1 Clay,,,,,Food Provider,"Each time you take a ""Bake Bread"" action, you can use this card once to turn 1 grain into 2 food and 1 bonus point."
?,,C,62,Minor Improvement,,Cookery Extension,2 Clay,,,,,Food Provider,"Each harvest, you can use each of your cooking improvements once to get double the amount of food for 1 animal or vegetable."
,,C,63,Minor Improvement,,Craft Brewery,"2 Wood,1 Clay",,,,,Food Provider,"In the feeding phase of each harvest, you can use this card to exchange 1 grain from your supply plus 1 grain from a field for 2 bonus points and 4 food."
X,,C,64,Minor Improvement,,Corn Schnapps Distillery,"1 Wood,2 Clay",,1,,,Food Provider,"Once per round, you can pay 1 grain to place 1 food on each of the next 4 round spaces. At the start of these rounds, you get the food."
V,,C,65,Minor Improvement,,Granary,,3 Wood/3 Clay,1,,,Crop Provider,"Place 1 grain each on the remaining spaces for rounds 8, 10, and 12. At the start of these rounds, you get the grain."
X,,C,66,Minor Improvement,,Eternal Rye Cultivation,,,,1 Grain Field,,Crop Provider,"After each harvest in which you have 2 or 3+ grain in your supply, you get 1 food and 1 additional grain, respectively."
X,,C,67,Minor Improvement,,Mineral Feeder,1 Reed,,1,,,Crop Provider,"At the start of each round that does not end with a harvest, if you have at least 1 sheep in a pasture, you get 1 grain."
V,,C,68,Minor Improvement,,Bookcase,2 Wood,,,1 Occupation,,Crop Provider,"Each time after you play an occupation, you get 1 vegetable."
,,C,69,Minor Improvement,,Land Consolidation,,,,,,Crop Provider,"At any time, you can exchange 3 grain in a field for 1 vegetable in that field."
V,,C,70,Minor Improvement,,Lettuce Patch,,,1,3 Occupations,,Crop Provider,This card is a field that can only grow vegetables. You can immediately turn each vegetable you harvested from this card into 4 food.
,,C,71,Minor Improvement,,Slurry Spreader,,,,,,Crop Provider,"In the breeding phase of each harvest, if you get newborn animals of at least two types, you also get a ""Sow"" action."
,,C,72,Minor Improvement,,Harvest Festival Planning,1 Food,,,2 Occupations,,Crop Provider,"When you play this card, immediately carry out the field phase of the harvest. Afterwards, you get a ""Major or Minor Improvement"" action."
X,,C,73,Minor Improvement,,Seaweed Fertilizer,2 Food,,,,,Crop Provider,"Each time after you take an unconditional ""Sow"" action, you get 1 grain from the general supply. From round 11 on, you can get 1 vegetable instead."
V,,C,74,Minor Improvement,,Private Forest,2 Food,,,1 Occupation,,Building Resource Provider,"Place 1 wood on each remaining even-numbered round space. At the start of these rounds, you get the wood."
X,,C,75,Minor Improvement,,Firewood,2 Food,,,,,Building Resource Provider,"In the returning home phase of each round, place 1 wood on this card. Each time before you build a Fireplace, Cooking Hearth, or oven, move up to 4 wood from this card to your supply."
V,,C,76,Minor Improvement,,Wood Cart,3 Wood,,,3 Occupations,,Building Resource Provider,"Each time you use a wood accumulation space, you get 2 additional wood."
V,,C,77,Minor Improvement,,Clay Supply,1 Food,,,,,Building Resource Provider,"Place 1 clay on each of the next 3 round spaces. At the start of these rounds, you get the clay."
V,,C,78,Minor Improvement,,Reed-Hatted Toad,1 Food,,,,,Building Resource Provider,"Add 5, 7, 9, 11, and 13 to the current round and place 1 reed on each corresponding round space. At the start of these rounds, you get the reed."
V,,C,79,Minor Improvement,,Stone Cart,2 Wood,,,2 Occupations,,Building Resource Provider,"Place 1 stone on each remaining even-numbered round space. At the start of these rounds, you get the stone."
X,,C,80,Minor Improvement,,Rocky Terrain,1 Food,,,,,Building Resource Provider,"Each time you plow a field (tile or card), you can also buy 1 stone for 1 food."
X,,C,81,Minor Improvement,,Material Hub,"1 Wood,1 Clay",,,1 Reed and 1 Stone in Your Supply,,Building Resource Provider,"Immediately place 2 of each building resource on this card. Each time any player (including you) takes at least 5 wood, 4 clay, 3 reed, or 3 stone, you get 1 of that building resource from this card."
X,,C,82,Minor Improvement,,Hardware Store,"1 Wood,1 Clay",,1,,,Building Resource Provider,"Each time after you use the ""Day Laborer"" action space, you can pay 2 food total to buy 1 wood, 1 clay, 1 reed, and 1 stone."
X,,C,83,Minor Improvement,,Early Cattle,,,-3,1 Pasture,,Livestock Provider,"When you play this card, you immediately get 2 cattle."
?,,C,84,Minor Improvement,,Perennial Rye,1 Food,,,2 Occupations,,Livestock Provider,"Each round that does not end with a harvest, you can pay 1 grain to breed exactly 1 type of animal. (This is not considered a breeding phase.)"
,,C,85,Occupation,1+,Den Builder,,,,,,Farm Planner,"When you live in a clay or stone house, you can pay 1 grain and 2 food. If you do, for the rest of the game, this card provides room for exactly one person."
V,,C,86,Occupation,1+,Livestock Feeder,,,,,,Farm Planner,"When you play this card, you immediately get 1 grain. Each grain in your supply can hold 1 animal of any type. (these animals count as accommodated on your farm.)"
V,,C,87,Occupation,1+,Mason,,,,,,Farm Planner,"Place a stone room on this card. Once you have a stone house with at least 4 rooms, at any time, you can add that room without paying any building resources."
?,,C,88,Occupation,1+,Carpenter's Apprentice,,,,,,Farm Planner,Wood rooms cost you 2 woods less. Your 3rd and 4th stable each cost you 1 wood less. Your 13th to 15th fence each cost you nothing.
V,,C,89,Occupation,1+,Stable Master,,,,,,Farm Planner,"When you play this card, you can immediately build exactly 1 stable for 1 wood. Exactly one of your unfenced stables can hold up to 3 animals of one type."
V,,C,90,Occupation,1+,Field Watchman,,,,,,Farm Planner,"Each time you use the ""Grain Seeds"" action space, you can also plow 1 field."
X,,C,91,Occupation,1+,Plow Hero,,,,,,Farm Planner,"Each time you use the ""Farmland"" or ""Cultivation"" action space with the first person you place in a round, you can plow 1 additional field for 1 food."
,Ban,C,92,Occupation,1+,Autumn Mother,,,,,,Actions Booster,"Immediately before each harvest, if you have room in your house, you can take a ""Family Growth"" action for 3 food."
X,,C,93,Occupation,1+,Inner Districts Director,,,,,,Actions Booster,"Each time you use the ""Forest"" or ""Clay Pit"" accumulation space, you can place 1 stone from the general supply on the other space. If you do, you can immediately place another person."
X,,C,94,Occupation,1+,Stable Cleaner,,,,,,Actions Booster,"At any time, you can take the ""Build Stables"" action without placing a person. If you do, each stable costs you 1 wood and 1 food."
?,,C,95,Occupation,1+,Basket Weaver,,,,,,Actions Booster,"When you play this card, immediately build the ""Basketmaker's Workshop"" major improvement for 1 stone and 1 reed."
V,,C,96,Occupation,1+,Merchant,,,,,,Actions Booster,"Immediately after each time you take a ""Major or Minor Improvement"" or ""Minor Improvement"" action, you can pay 1 food to take the action a second time."
,,C,97,Occupation,1+,Seed Researcher,,,,,,Actions Booster,"Each time any people return from both the ""Grain Seeds"" and ""Vegetable Seeds"" action spaces, you get 2 food and you can play 1 occupation, without paying an occupation cost."
V,,C,98,Occupation,1+,Cube Cutter,,,,,,Points Provider,"When you play this card, you immediately get 1 wood. In the field phase of each harvest, you can use this card to exchange exactly 1 wood and 1 food for 1 bonus point."
,,C,99,Occupation,1+,Garden Designer,,,,,,Points Provider,"At the start of scoring, you can place food in empty fields. You get 1/2/3 bonus points for each field in which you place 1/4/7 food."
X,,C,100,Occupation,1+,Butler,,,,,,Points Provider,"If you play this card in round 11 or before, during scoring, you get 4 bonus points if you then have more rooms than people."
X,,C,101,Occupation,1+,Stall Holder,,,,,,Points Provider,"Once per round, if you have 0/1/2/3/4 unfenced stables on your farm, you can exchange 2 grain for 1 bonus point and 1/2/3/4/5 food."
X,,C,102,Occupation,1+,Tree Guard,,,,,,Goods Provider,"Each time after you use a wood accumulation space, you can place 4 wood from your supply on that space to get 2 stone, 1 clay, 1 reed, and 1 grain."
,,C,103,Occupation,1+,Green Grocer,,,,,,Goods Provider,"At the start of each round, you can make exactly one of the following exchanges: 1 Cattle → 1 Vegetable; 1 Vegetable → 1 Cattle; 2 Sheep → 1 Vegetable; 1 Vegetable → 2 Sheep; 2 Food → 1 Grain; 1 Grain → 2 Food"
V,,C,104,Occupation,1+,Collector,,,,,,Goods Provider,"This card is an action space for you only. When you use it for the 1st/2nd/3rd/4th time, you get 1 begging marker and 6/7/8/9 different good of your choice."
,,C,105,Occupation,1+,Basket Carrier,,,,,,Goods Provider,"Once each harvest, you can buy 1 wood, 1 reed, and 1 grain for 2 food total."
V,,C,106,Occupation,1+,Potato Harvester,,,,,,Food Provider,"When you play this card, you immediately get 3 food. For each vegetable you get from your fields during the field phase of the harvest, you get 1 additional food."
V,,C,107,Occupation,1+,Baker,,,,,,Food Provider,"When you play this card and at the start of each feeding phase, you can take a ""Bake Bread"" action."
V,,C,108,Occupation,1+,Layabout,,,,,,Food Provider,"When you play this card, you must skip the next harvest. (You also do not have to feed your family that harvest.)"
V,,C,109,Occupation,1+,Schnapps Distiller,,,,,,Food Provider,"In the feeding phase of each harvest, you can use this card to turn exactly 1 vegetable into 5 food."
V,,C,110,Occupation,1+,Home Brewer,,,,,,Food Provider,"After the field phase of each harvest, you can use this card to turn exactly 1 grain into your choice of 3 food or 1 bonus point."
X,,C,111,Occupation,1+,Small Animal Breeder,,,,,,Food Provider,"Before the start of each round, if you have food equal to or higher than the current round number (e.g., 8+ food in round 8), you get 1 food."
V,,C,112,Occupation,1+,Thresher,,,,,,Crop Provider,"Immediately before each time you use the ""Grain Utilization"", ""Farmland"", or ""Cultivation"" action space, you can buy 1 grain for 1 food."
V,,C,113,Occupation,1+,Winter Caretaker,,,,,,Crop Provider,"When you play this card, you immediately get 1 grain. At the end of each harvest, you can buy exactly 1 vegetable for 2 food."
X,,C,114,Occupation,1+,Soil Scientist,,,,,,Crop Provider,"Each time after you use a clay/stone accumulation space, you can place 1 stone/2 clay from your supply on the space to get 2 grain/1 vegetable, respectively."
,,C,115,Occupation,1+,Sower,,,,,,Crop Provider,"Each time you build a major improvement, place 1 reed from the general supply on that card. At any time, you can move the reed to your supply or exchange it for a ""Sow"" action."
V,,C,116,Occupation,1+,Furniture Maker,,,,,,Building Resource Provider,"When you play this card, you immediately get 1 wood. Each time you play an occupation after this one, you get 1 wood for each food paid as occupation cost."
,,C,117,Occupation,1+,Legworker,,,,,,Building Resource Provider,"Each time you use an action space that is orthogonally adjacent to another action space occupied by one of your people, you get 1 wood."
V,,C,118,Occupation,1+,Wood Collector,,,,,,Building Resource Provider,"Place 1 wood on each of the next 5 round spaces. At the start of these rounds, you get the wood."
V,,C,119,Occupation,1+,Skillful Renovator,,,,,,Building Resource Provider,"When you play this card, you immediately get 1 wood and 1 clay. Each time after you renovate, you get a number of wood equal to the number of people you placed that round."
X,,C,120,Occupation,1+,Agricultural Labourer,,,,,,Building Resource Provider,"Place 8 clay on this card. For each grain you obtain, you also get 1 clay from this card."
V,,C,121,Occupation,1+,Clay Kneader,,,,,,Building Resource Provider,"When you play this card, you immediately get 1 wood and 2 clay. Each time after you use a ""Grain Seeds"" or ""Vegetable Seeds"" action space, you get 1 clay."
V,,C,122,Occupation,1+,Bricklayer,,,,,,Building Resource Provider,Each improvement and each renovation cost you 1 clay less. Each room costs you 2 clay less.
V,,C,123,Occupation,1+,Freemason,,,,,,Building Resource Provider,"As long as you live in a clay/stone house with exactly 2 rooms, at the start of each work phase, you get 2 clay/stone."
,,C,124,Occupation,1+,Stone Importer,,,,,,Building Resource Provider,"In the breeding phase of the 1st/2nd/3rd/4th/5th/6th harvest, you can use this card to buy exactly 2 stone for 2/2/3/3/4/1 food."
,,C,125,Occupation,1+,Nightworker,,,,,,Building Resource Provider,"Before the start of each work phase, you can place a person on an accumulation space of a building resource not in your supply. (Then proceed with the start player.)"
V,,C,126,Occupation,1+,Excavator,,,,,,Building Resource Provider,"Each time after you use the ""Day Laborer"" action space, you get 1 additional wood and clay, and you can buy 1 stone for 1 food."
X,,C,127,Occupation,3+,Lover,,,,,,Farm Planner,"When you play this card, immediately pay an amount of food equal to the number of complete rounds left to play to take a ""Family Growth Even without Room"" action."
V,,C,128,Occupation,3+,Wooden Hut Extender,,,,,,Farm Planner,"Wood rooms now cost you 1 reed, and additionally 5 wood through round 5, 4 wood in rounds 6 and 7, and 3 wood in round 8 and later."
,,C,129,Occupation,3+,Second Spouse,,,,,,Actions Booster,"You can use the ""Urgent Wish for Children"" action space (from round 12-13) even if it is occupied by the first person another player placed."
,,C,130,Occupation,3+,Outskirts Director,,,,,,Actions Booster,"Each time you use the ""Grove"" or ""Hollow"" accumulation space, you can place 2 reed from the general supply on the other space. If you do, you can immediately place another person."
?,,C,131,Occupation,3+,Private Teacher,,,,,,Actions Booster,"Each time you use the ""Grain Seeds"" action space when any ""Lessons"" action space is occupied, you can also play an occupation for an occupation cost of 1 food."
,,C,132,Occupation,3+,Timber Shingle Maker,,,,,,Points Provider,"When you renovate to stone, you can place up to 1 wood from your supply in each of your rooms. During scoring, each such wood is worth 1 bonus point."
,,C,133,Occupation,3+,Soldier,,,,,,Points Provider,"During scoring, you get 1 bonus point for each stone-wood pair in your supply. You cannot score additional points for the resources scored with this card."
X,,C,134,Occupation,3+,Cow Prince,,,,,,Points Provider,"During scoring, you get 1 bonus point for each space in your farmyard (including rooms) holding at least 1 cattle."
V,,C,135,Occupation,3+,Constable,,,,,,Points Provider,"If there are still 1/3/6/9 complete rounds left to play, you immediately get 1/2/3/4 wood. During scoring, each player with no negative points gets 3 bonus points."
X,,C,136,Occupation,3+,Ranch Provost,,,,,,Points Provider,"If there are still 3/6/9 complete rounds left to play, you immediately get 2/3/4 wood. During scoring, each player with a pasture of highest capacity gets 3 bonus points."
V,,C,137,Occupation,3+,Charcoal Burner,,,,,,Goods Provider,"Each time any player (including you) plays or builds a baking improvement, you get 1 wood and 1 food."
,,C,138,Occupation,3+,Animal Feeder,,,,,,Goods Provider,"On the ""Day Laborer"" action space, you also get your choice of 1 sheep or 1 grain. Instead of that good, you can buy 1 wild boar for 1 food or 1 cattle for 2 food."
X,,C,139,Occupation,3+,Basketmaker's Wife,,,,,,Food Provider,"When you play this card, you immediately get 1 reed and 1 food. At any time, you can turn 1 reed into 2 food."
,,C,140,Occupation,3+,Packaging Artist,,,,,,Food Provider,"When you play this card, you immediately get 1 grain. Each time you get a ""Minor Improvement"" action, you can take a ""Bake Bread"" action instead."
X,,C,141,Occupation,3+,Sheep Provider,,,,,,Crop Provider,"Each time any player (including you) uses the ""Sheep Market"" accumulation space, you get 1 grain."
V,,C,142,Occupation,3+,Market Crier,,,,,,Crop Provider,"Each time you use the ""Grain Seeds"" action space, you can get an additional 1 grain and 1 vegetable. If you do, each other player gets 1 grain from the general supply."
X,,C,143,Occupation,3+,Stone Buyer,,,,,,Actions Booster,"When you play this card, you can immediately buy exactly 2 stone for 1 food. From the next round on, one per round, you can buy 1 stone for 2 food."
V,,C,144,Occupation,3+,Reed Roof Renovator,,,,,,Building Resource Provider,"Each time another player renovates, you immediately get 1 reed from the general supply. When you play this card in a 3-player game, you immediately get 1 reed."
X,,C,145,Occupation,3+,Forest Reviewer,,,,,,Actions Booster,"Each time after any player (including you) uses the unoccupied ""Grove"" or ""Forest"" accumulation space while the other of the two is occupied, you get 1 reed."
,,C,146,Occupation,3+,Workshop Assistant,,,,,,Actions Booster,"Place a unique pair of different building resources on each of your improvements. Each time another player renovates, you may move one such pair to your supply."
V,,C,147,Occupation,3+,Cowherd,,,,,,Livestock Provider,"Each time you use the ""Cattle Market"" accumulation space (introduced in round 10 or 11), you get 1 additional cattle."
,,C,148,Occupation,4+,Mud Wallower,,,,,,Farm Planner,"Each time you use an accumulation space, place 1 clay from the general supply on this card. You must immediately exchange 4 clay on this card for 1 wild boar, held by this card."
V,,C,149,Occupation,4+,Resource Recycler,,,,,,Farm Planner,"Each time another player renovates to stone, if you live in a clay house, you can pay 2 food to build a clay room at no additional cost."
,,C,150,Occupation,4+,Parrot Breeder,,,,,,Actions Booster,"On your turn, if you pay 1 grain to the general supply, you can use the same action space that the player to your right has just used on their turn."
X,,C,151,Occupation,4+,Sowing Director,,,,,,Actions Booster,"Each time after another player uses the ""Grain Utilization"" action space, you get a ""Sow"" action."
V,,C,152,Occupation,4+,Puppeteer,,,,,,Actions Booster,"Each time another player uses the ""Traveling Players"" accumulation space, you can pay them 1 food to immediately play an occupation without paying an occupation cost."
V,,C,153,Occupation,4+,Pattern Maker,,,,,,Points Provider,"Each time another player renovates, you can exchange exactly 2 wood for 1 grain, 1 food, and 1 bonus point."
,,C,154,Occupation,4+,Twin Researcher,,,,,,Points Provider,"Each time you use one of the two accumulation spaces for the same type of good containing exactly the same number of goods, you can also buy 1 bonus point for 1 food."
?,,C,155,Occupation,4+,Food Distributor,,,,,,Goods Provider,"When you play this card, you immediately get 1 grain and, at the start of this returning home phase, an amount of food equal to the number of occupied action space cards."
X,,C,156,Occupation,4+,Hoof Caregiver,,,,,,Goods Provider,"Immediately add 1 cattle from the general supply to the ""Cattle Market"" accumulation space. Afterward, you get 1 grain plus 1 food for each cattle on ""Cattle Market""."
,,C,157,Occupation,4+,Resource Analyzer,,,,,,Food Provider,"Before the start of each round, if you have more building resources than all other players of at least two types, you get 1 food."
X,,C,158,Occupation,4+,Forest Campaigner,,,,,,Food Provider,"Each time before you place a person, if there are at least 8 wood total on accumulation spaces, you get 1 food."
