Deck,Num,Type,Players,Name,Cost,Text cost,VPs,Prereq,Passing,Deck Category,Text,Author
E,19,Minor Improvement,,Ox Goad,1 wood,,1,3 Occupations,,Farmyard - Plowing,"Each time after you use the ""Cattle Market"" accumulation space, you can pay 2 food to plow 1 field.",beso
E,20,Minor Improvement,,Iron Hoe,1 wood,,0,,,Farmyard - Plowing,"At the end of each work phase, if you occupy both the ""Grain Seeds"" and ""Vegetable Seeds"" action spaces, you can plow 1 field.",chris
E,21,Minor Improvement,,Sheep Rug,1 sheep,,1,4 Sheep,,Action - Family growth,"You can use any ""Wish for Children"" action space, even if it is occupied by another player's person.",beso
E,22,Minor Improvement,,Guest Room ,"4 wood, 1 reed",,,,,Farmyard - Place for person,"Immediately place any amount of food from your supply on this card. Once per round, you can discard 1 food from this card to place a person from your supply in that round.",nwoll
E,23,Minor Improvement,,Apiary,,,,4 Occupations,,Action,"At the end of each work phase, you can sow exactly 1 crop on 1 field.",beso
E,24,Minor Improvement,,Ambition,,,,2 Occupations,,Action,"Each time you get a ""Minor Improvement"" action on an action space, you can build a major improvement instead of playing a minor one.",azwandahlan
E,25,Minor Improvement,,Bumper Crop,,,1,2 Grain Fields,,Action,"When you play this card, immediately play the field phase of the harvest on your farmyard only.",ss
E,26,Minor Improvement,,Sundial,1 wood,,,,,Action,"At the end of the work phases in rounds 7 and 9, you can take a ""Sow"" action without placing a person.",oxmond
E,27,Minor Improvement,,Piggy Bank,,,,,,Action - Improvement,"At the end of each work phase, you can place 1 food on this card, irretrievably. At any time, you can discard 6 food from this to build a major improvement at no cost.",azwandahlan
E,28,Minor Improvement,,Bookmark,1 wood,,,,,Action - Occupation,"Add 3 to the current round and mark the corresponding round space. At the start of that round, you can play 1 occupation without paying an occupation cost.",beso
E,29,Minor Improvement,,Heirloom,,,2,"1 of Your People on ""Day Laborer""",,Bonus points - get,This card has no additional effect.,inoshishi
E,30,Minor Improvement,,Child's Toy,,1 wood/1 clay,2,Exactly 2 Adults,,Bonus points - get,"During the feeding phase of each harvest, your newborns require 2 food (instead of 1).",beso
E,31,Minor Improvement,,Upholstery,,,,,,Bonus points - get,"Each time you build or play an improvement after this one, you can place 1 reed on this card, irretrievably, to get 1 bonus point, up to the number of rooms in your house.",cunning
E,32,Minor Improvement,,Nave,"2 stone, 1reed",,,,,Bonus points - get,"During scoring, you get 1 bonus point for each of the 5 columns of your farmyard board containing at least one room.",luki
E,33,Minor Improvement,,Beaver Colony,,,1,1 Fenced Stable,,Bonus points - get,"From now on, one of your pastures with stable cannot hold animals. Each time you get reed from an action space, you get 1 bonus point.",superg
E,34,Minor Improvement,,Land Register,1 wood,,,,,Bonus points - get,"During scoring, if your farm has no unused spaces, you get 2 bonus points.",luki
E,35,Minor Improvement,,Misanthropy,1 wood,,,,,Bonus points - get,"During scoring, if you have exactly 4/3/2 people, you get 2/3/5 bonus points.",pm_ballard
E,36,Minor Improvement,,Herbal Garden,1 wood,,2,1 Pasture,,Bonus points - get,"From now on, at least one of your pastures must contain no animals.",chris
E,37,Minor Improvement,,Ox Skull,,,,1 Cattle,,Bonus points - get,"During scoring, if you have no cattle, you get 3 bonus points.",tamos
E,38,Minor Improvement,,Rod Collection,,,1,3 Occupations,,Bonus points - get,"Each time you use ""Fishing"", you can place up to 2 wood on this card, irretrievably. During scoring, each such wood is worth 1 bonus point, except the 1st, 4th, 7th, and 10th.",superg
E,39,Minor Improvement,,Paintbrush,1 wood,,,1 Wild Boar,,Bonus points - get,"Each harvest, you can exchange exactly 1 clay for your choice of 2 food or 1 bonus point.",inoshishi
E,40,Minor Improvement,,Bee Statue,2 clay,,,,,Goods - get,"Pile (from bottom to top) 1 vegetable, 1 stone, 1 grain, 1 stone, 1 grain on this card. Each time you use the ""Day Laborer"" action space, you get the top good.",vancoch
E,41,Minor Improvement,,Muddy Waters,,,1,5 Cards in Play,,Goods - get,"Alternate placing 1 food and 1 clay on each remaining even-numbered round space, starting with food. At the start of these rounds, you get the respective good.",vancoch
E,42,Minor Improvement,,Water Gully,1 stone,,,Major Well,,Goods - get,"Place 1 cattle, 1 grain, and 1 cattle on the next 3 round spaces (in that order). At the start of these rounds, you get the good.",azwandahlan
E,43,Minor Improvement,,Barn Cats,,,1,1 Stable,,Food - future round spaces,"If you have 1/2/3/4 stables, place 1 food on each of the next 2/3/4/5 remaining round spaces . At the start of these rounds, you get the food.",beso
E,44,Minor Improvement,,Fodder Beets,,,1,3 Field Tiles,,Food - future round spaces,"Place 1 food on each remaining odd-numbered round space. At the start of these rounds, you get the food.",letsdance
E,45,Minor Improvement,,Fruit Ladder,2 wood,,1,,,Food,"Place 1 food on each remaining even-numbered round space. At the start of these rounds, you get the food.",luki
E,46,Minor Improvement,,Waterlily Pond,,,1,Exactly 2 Occupations,,Food - future round spaces,"Place 1 food on each of the next 2 round spaces. At the start of these rounds, you get the food.",hako
E,47,Minor Improvement,,Syrup Tap,"1 wood, 1 stone",,1,,,Food,"Each time you get at least 1 wood from an action space, place 1 food on the next round space. At the start of that round, you get the food.",kulbrot
E,48,Minor Improvement,,Town Hall,"2 wood, 2 clay",,2,,,Food,"In the feeding phase of each harvest, if you live in a clay or stone house, you get 1 or 2 food, respectively.",inoshishi
E,49,Minor Improvement,,Twibil,1 stone,,1,,,Food,"Each time after any player (including you) builds at least 1 wood room, you get 1 food.",chriss
E,50,Minor Improvement,,Wild Greens,,,,,,Food,"Each time you sow, you get 1 food for every different type of good that you sow.",luki
E,51,Minor Improvement,,Whale Oil,1 wood,,,,,Food,"Each time you use ""Fishing"", place 1 food from the general supply on this card. Each time before you play an occupation, you get food equal to the amount on this card.",chriss
E,52,Minor Improvement,,Cubbyhole,,"1 reed, 1 wood/clay",1,,,Food,"For each room that you add to your house, place 1 food from the general supply on this card. At the start of each feeding phase, you get food equal to the amount on this card.",minnie
E,53,Minor Improvement,,Boar Spear,"1 wood, 1 stone",,1,,,Food,"Each time you get wild boar outside of the breeding phase of a harvest, you can immediately turn them into 4 food each.",tamos
E,54,Minor Improvement,,Contraband,1 food,,,,,Food,"Each time you play or build an improvement after this, you can pay 1 additional building resource of a type in the printed cost (of the new card) to get 3 food.",azwandahlan
E,55,Minor Improvement,,Stone Weir,1 stone,,1,2 Occupations,,Food,"Each time you use the ""Fishing"" accumulation space, if there are 0/1/2/3 food on the space, you get an additional 4/3/2/1 food from the general supply.",beso
E,56,Minor Improvement,,Roman Pot,1 clay,,1,,,Food - future round spaces,"Place 4 food from the general supply on this card. At the start of each work phase, if you are the last player in turn order, move 1 food from this card to your supply.",azwandahlan
E,57,Minor Improvement,,Cheese Fondue,1 clay,,1,,,Food,"Each time you bake at least 1 grain into bread, you get 1 additional food if you have at least 1 sheep and 1 additional food if you have at least 1 cattle.",inoshishi
E,58,Minor Improvement,,Lunchtime Beer,,,,,,Food,"At the start of each harvest, you can choose to skip the field and breeding phase and get exactly 1 food instead.",chris
E,59,Minor Improvement,,Comb and Cutter,1 wood,,,,,Food,"Each time you use the ""Day Laborer"" action space, you get 1 additional food for each sheep on the ""Sheep Market"" accumulation space, up to a maximum of 4 additional food.",guy
E,60,Minor Improvement,,Working Gloves,,,,,,Food - convert,"When you play this card, you get 1 food. Each time you pay an occupation cost, you can pay 1 building resource of your choice in place of (up to) 2 food.",letsdance
E,61,Minor Improvement,,Raised Bed,"2 clay, 2 stone",,1,2 Grain Fields,,Food - Grain,"At the start of each harvest, you get 4 food.",beso
E,62,Minor Improvement,,Sour Dough,,,1,3 Occupations and 1 Baking Improvement,,Food - Grain,"Once per round, if all players have at least 1 person left to place, you can skip placing a person and take a ""Bake Bread"" action instead.",chris
E,63,Minor Improvement,,Iron Oven,3 stone,,2,,,Food - Grain,"""Bake Bread"" action: [1 grain -(1×)-> 6 food] When you play this card, you can immediately take a ""Bake Bread"" action.",barbarossa89
E,64,Minor Improvement,,Simple Oven,2 clay,,1,,,Food - Grain,"""Bake Bread"" action: [1 grain -(1×)-> 3 food] When you play this card, you can immediately take a ""Bake Bread"" action.",beso
E,65,Minor Improvement,,Almsbag,,,,No Occupations,,Crops - Grain,"When you play this card, you immediately get 1 grain for every 2 completed rounds.",luki
E,66,Minor Improvement,,Barn Shed,2 wood,,,3 Occupations,,Crops - Grain,"Each time another player (or, in a solo game, you) uses the ""Forest"" accumulation space, you get 1 grain.",inoshishi
E,67,Minor Improvement,,Grain Bag,1 reed,,1,,,Crops - Grain,"Each time you use the ""Grain Seeds"" action space, you get 1 additional grain for each <BAKE> improvement you have.",beso
E,68,Minor Improvement,,Cherry Orchard,,,,,,Crops - Vegetable,"This card is a field on which you can only sow and harvest wood as you would grain. Each time you harvest the last wood from this card, you also get 1 vegetable.",inoshishi
E,69,Minor Improvement,,Melon Patch,,,,2 Occupations,,Crops - Vegetable,"This card is a field that can only grow vegetables. Each time you harvest the last vegetable from this card, you can plow 1 field.",azwandahlan
E,70,Minor Improvement,,Crop Rotation Field,,,,1 Occupation,,Crops - Vegetable,"This card is a field. Each time you remove the last grain or vegetable from this card, you can immediately sow vegetable or grain on this card, respectively.",chris
E,71,Minor Improvement,,Cow Patty,,,1,1 Cattle,,Crops - Grain and Vegetable,"Each time you sow in a field that is orthogonally adjacent to a pasture, you can place 1 additional good of the planted type in it.",chriss
E,72,Minor Improvement,,Artichoke Field,1 wood,,1,2 Occupations,,Crops - Grain and Vegetable,"This card is a field. During the field phase of each harvest, if you harvest at least 1 good from this card, you also get 1 food.",minnie
E,73,Minor Improvement,,Scythe,1 wood,,,,,Crops - Grain and Vegetable,"During the field phase of each harvest, you can select exactly one of your fields and harvest all the goods planted in it.",cunning
E,74,Minor Improvement,,Ash Trees,,,,2 planted fields,,Building Resources - Wood,"When you play this card, immediately place (up to) 5 fences from your supply on it. When building fences, fences taken from this card cost you nothing.",beso
E,75,Minor Improvement,,Stone Axe,"1 wood, 1 clay",,1,2 Occupations,,Building Resources - Wood,"Each time you use a wood accumulation space, you can return 1 stone to the general supply to get an additional 3 wood.",beso
E,76,Minor Improvement,,Lumber Pile,,,,,,Building Resources - Wood or Clay,"When you play this card, you can immediately return up to 3 stables from your farmyard board to your supply and get 3 wood for each.",henrysunset
E,77,Minor Improvement,,Mattock,1 wood,,,,,Building Resources - Clay,"Each time you get reed and/or stone from an action space, you get 1 additional clay.",chris
E,78,Minor Improvement,,Sleight of Hand,,,,3 Occupations,,Building Resources - Reed,"When you play this card, you can immediately exchange up to 4 building resources for an equal number of other building resources.",beso
E,79,Minor Improvement,,Field Spade,1 wood,,,,,Building Resources - Stone,"Each time after you sow in at least 1 field, you get 1 stone.",inoshishi
E,80,Minor Improvement,,Rock Garden,,,,,,Building Resources - Stone,"You can only plant stone on this card. Plant as though it were 3 fields, but it is considered 1 field. Sow and harvest stone on this card as you would vegetables.",barbarossa89
E,81,Minor Improvement,,Alchemists Lab,,,1,3 Occupations,,Building Resources - all,"This card is an action space for all. A player who uses it gets 1 building resource of each type they already have. If another player uses it, they must first pay you 1 food.",oxmond
E,82,Minor Improvement,,Profiteering,,,,,,Building Resources - all,"When you play this card, you immediately get 1 food. Each time you use the ""Day Laborer"" action space, you can exchange 1 building resource for another building resource.",chris
E,83,Minor Improvement,,Shepherd's Whistle,1 wood,,,,,Animals ,"At the start of the breeding phase of each harvest, if you have at least 1 unfenced stable without animal, you get 1 sheep.",inoshishi
E,84,Minor Improvement,,Dolly's Mother,,,1,1 Sheep,,Animals ,You only require 1 sheep to breed sheep during the breeding phase of a harvest. This card can hold 1 sheep.,azwandahlan
E,85,Occupation,1+,Master Tanner,,,,,,Farmyard - Place for person,"For each wild boar or cattle you turn into food, you can place 1 of that food on this card. Once its food equals your number of rooms, this card provides room for 1 person.",maninteitz
E,86,Occupation,1+,Pen Builder,,,,,,Farmyard - Place for animals,"At any time, you can place wood from your supply on this card, irretrievably. You can keep twice as many animals of any type on this card as there is wood on it.",nwoll
E,87,Occupation,1+,Master Renovator,,,,,,Farmyard - House building or Renovation,"At the end of the work phases of rounds 7 and 9, you can take a ""Renovation"" action without placing a person and pay 1 building resource of your choice less.",really_unknow4
E,88,Occupation,1+,Master Fencer,,,,,,Farmyard - Fencing,"Once you live in a stone house, at the start of each round, you can pay 2 or 3 wood to build up to 3 or 4 fences, respectively.",barbarossa89
E,89,Occupation,1+,Stallwright,,,,,,Farmyard - Stable building,"After you play your 2nd, 3rd, 5th, and 7th occupation (including this one), you can build 1 stable at no cost.",beso
E,90,Occupation,1+,Dung Collector,,,,,,Farmyard - Plowing,"Each time you breed 2 or more newborn animals, you can pay 1 food to plow 1 field.",power_sharpner
E,91,Occupation,1+,Plow Builder,,,,,,Farmyard - Plowing,"You can build the Joinery when taking a ""Minor Improvement"" action. If you use the Joinery (or an upgrade thereof) during the harvest, you can pay 1 food to plow 1 field.",chris
E,92,Occupation,1+,Field Doctor,,,,,,Action - Family growth,"Once this game, if you live in a house with exactly 2 rooms surrounded by 4 field tiles, you can use aby ""Family Growth"" action space even without room.",chris
E,93,Occupation,1+,Motivator,,,,,,Action - Guest,"On your first turn each round, if you have no unused farmyard spaces, you can place a person from your supply.",chris
E,94,Occupation,1+,Prophet,,,,,,Action,"When you play this card, immediately take a ""Renovation"" action. Afterward, you can take a ""Build Fences"" action. (Both actions require their usual cost.)",mattthelesser
E,95,Occupation,1+,Miller,,,,,,Action - Major Improvement,"You can immediately build a <BAKE> improvement by paying its cost. Each time another player uses the ""Grain Seeds"" action space, you can take a “Bake Bread” action.",tom
E,96,Occupation,1+,Elder,,,,,,Action - Improvement,You can play this card at the start of the work phase of round 1 without placing a person. (This card has no effect other than counting as a played occupation.),mattthelesser
E,97,Occupation,1+,Beneficiary,,,,,,Action - Occupation,"If this is your 3rd occupation, you can immediately play another occupation for an occupation cost of 1 food and/or play 1 minor improvement by paying its cost.",azwandahlan
E,98,Occupation,1+,Prodigy,,,,,,Bonus points - get,"If this is your 1st occupation, you immediately get 1 bonus point for each improvement you have. (This will not apply to improvements played after this card.)",barbarossa89
E,99,Occupation,1+,Uncaring Parents,,,,,,Bonus points - get,"At the end of each harvest, if you live in a stone house, you get 1 bonus point.",wulf684
E,100,Occupation,1+,Museum Caretaker,,,,,,Bonus points - get,"At the start of each work phase, if you have at least 1 wood, 1 clay, 1 reed, 1 stone, 1 grain, and 1 vegetable in your supply, you get 1 bonus point.",kosherdill
E,101,Occupation,1+,Blighter,,,,,,Bonus points - get,"When you play this, you get 1 bonus point for each complete stage left to play. You may not play any more occupations.",luki
E,102,Occupation,1+,Acquirer,,,,,,Goods - get,"At the start of each round, you may pay food equal to the number of people you have to buy 1 good of your choice from the general supply.",grummelbaum
E,103,Occupation,1+,Wolf,,,,,,Goods - get,"Pile (from bottom to top) 1 clay, 1 wood, and 1 grain on this card. Each time you get a good matching the top item, you can move that item to your supply and get 1 wild boar.",oxmond
E,104,Occupation,1+,Spice Trader,,,,,,Goods - get,"If you play this card in round 4 or before, place 3 vegetables on the space for round 11. At the start of that round, you get the vegetables.",snapper
E,105,Occupation,1+,Pioneer,,,,,,Goods - get,"When you play this card and each time before you use the most recent action space card, you get 1 building resource of your choice and 1 food.",luki
E,106,Occupation,1+,Emergency Seller,,,,,,Food,"When you play this card, you can immediately turn as many building resources into food as you have people:
[wood]/[clay] -> 2 [food]
[reed]/[stone] -> 3 [food]",nwoll
E,107,Occupation,1+,Land Surveyor,,,,,,Food,"In the field phase of each harvest, if you have at least 2/4/6/7 fields, you get 1/2/3/4 food.",chris
E,108,Occupation,1+,Blackberry Farmer,,,,,,Food,"Each time you build fences, place 1 food on each remaining round space, up to the number of fences just built. At the start of these rounds, you get the food.",superg
E,109,Occupation,1+,Braid Maker,,,,,,Food,"Each harvest, you can use this card to exchange 1 reed for 2 food. You can build the Basket Maker's Workshop for 1 reed and 1 stone even when taking a ""Minor Impr."" action. ",agentricola
E,110,Occupation,1+,Dentist,,,,,,Food,"At the start of each harvest, you can place 1 wood from your supply on this card, irretrievably. In each feeding phase, you get 1 food for each wood on this card.",chris
E,111,Occupation,1+,Recluse,,,,,,Food,"As long as you have no minor improvements in front of you, you get 1 food at the start of each round and 1 wood at the start of each harvest.",letsdance
E,112,Occupation,1+,Grain Thief,,,,,,Crops - Grain,"Each time you would harvest a grain field, you can leave the grain on the field and take 1 grain from the general supply instead.",letsdance
E,113,Occupation,1+,Godmother,,,,,,Crops - Vegetable,"Each time you take a ""Family Growth"" action, you also get 1 vegetable.",luki
E,114,Occupation,1+,Shed Builder,,,,,,Crops - Grain and Vegetable,"When you build your 1st and 2nd stable, you get 1 grain. When you build your 3rd and 4th stable, you get 1 vegetable. (This does not apply to stables you have already built.)",nwoll
E,115,Occupation,1+,Seed Servant,,,,,,Crops - Sowing,"Each time after you use the ""Grain Seeds"" or ""Vegetable Seeds"" action space, you can take a ""Bake bread"" or ""Sow"" action, respectively.",beso
E,116,Occupation,1+,Fir Cutter,,,,,,Building Resources - Wood,"When you play this card, you immediately get 1 food. Each time after you use an animal accumulation space with your 1st/2nd/3rd/4th/5th person, you get 1/1/2/2/3 wood.",beso
E,117,Occupation,1+,Pipe Smoker,,,,,,Building Resources - Wood,"At the start of each harvest, if you have at least 1 grain field, you get 2 wood.",tom
E,118,Occupation,1+,Kindling Gatherer,,,,,,Building Resources - Wood,"Each time you get food from an action space, you get 1 additional wood.",barbarossa89
E,119,Occupation,1+,Land Heir,,,,,,Building Resources - Wood (and Clay),"If you play this card in round 4 or before, place 4 wood and 4 clay on the space for round 9. At the start of this round, you get the resources.",oxmond
E,120,Occupation,1+,Scrap Collector,,,,,,Building Resources - Clay (and Wood),"Alternate placing 1 wood and 1 clay on each of the next 6 round spaces, starting with wood. At the start of these rounds, you get the respective resource.",beso
E,121,Occupation,1+,Hill Cultivator,,,,,,Building Resources - Clay,"Each time you use the ""Grain Seeds"" or ""Vegetable Seeds"" action space, you also get 2 or 3 clay, respectively.",inoshishi
E,122,Occupation,1+,Cottar,,,,,,Building Resources - Clay,"Each time you play or build an improvement, you get your choice of 1 wood or 1 clay immediately after paying its cost.",chris
E,123,Occupation,1+,Resource Hoarder,,,,,,Building Resources - Clay and/or Stone,"Pile resources as depicted on this card. You can use the top item(s) when building a room, playing/building an improvement, or renovating. (From bottom to top: Stone, Clay, Stone, Reed, Wood, Clay)",inoshishi
E,124,Occupation,1+,Mayor Candidate,,,,,,Building Resources - Stone,"You immediately get 2 wood and 2 stone. During scoring, you get 1 negative point for each wood and each stone in your supply. You can no longer discard wood or stone.",oxmond
E,125,Occupation,1+,Delayed Wayfarer,,,,,,Building Resources - all,"When you play this card, you immediately get 1 building resource of your choice and, once all people have been placed this round, you can place a person from your supply.",mattthelesser
E,126,Occupation,1+,Tax Collector,,,,,,Building Resources - all,"Once you live in a stone house, at the start of each round, you get your choice of 2 wood, 2 clay, 1 reed, or 1 stone.",barbarossa89
E,127,Occupation,3+,Diligent Farmer,,,,,,Farmyard - Place for person,"When you play this card, if you would score the maximum 4 points in 3 scoring categories (including fenced stables), you can extend your house by 1 room at no cost.",shiunyuans
E,128,Occupation,3+,Saddler,,,,,,Farmyard,"Each time after you build a major improvement, you can pay 1 food to plow 1 field.",beso
E,129,Occupation,3+,Imitator,,,,,,Action,"If you have a person on the ""Day Laborer"" action space, you can use non-accumulating round 1-9 action spaces even if they are occupied.",nwoll
E,130,Occupation,3+,Overachiever,,,,,,Action - Improvements or Occupations,"Each time you use a ""Wish for Children"" action space, you can build or play 1 additional improvement by paying its cost less 1 resource of your choice.",chris
E,131,Occupation,3+,Market Master,,,,,,Action - Improvements or Occupations,"Immediately after each time you place your last person in a round on the ""Traveling Players"" accumulation space, you can play 1 occupation for an occupation cost of 1 food.",beso
E,132,Occupation,3+,Shearer,,,,,,Bonus points,"In the field phase of each harvest, if you have at least 1/4/7 sheep, you get 1/2/3 food. (Keep the sheep.) During scoring, you get 1 bonus point for every 3 sheep.",maninteitz
E,133,Occupation,3+,Champion Breeder,,,,,,Bonus points,"Each time you place 2 or 3+ newborn animals on your farm during the breeding phase of the harvest, you get 1 or 2 bonus points, respectively.",inoshishi
E,134,Occupation,3+,Omnifarmer,,,,,,Bonus points,"Each harvest, you can place 1 harvested crop or 1 newborn animal on this card, irretrievably. Once this game, exchange 2/3/4/5 different goods on this for 3/5/7/9 bonus points.",apeirox
E,135,Occupation,3+,Pickler,,,,,,Bonus points - 4 Wood card competition,"If there are still 1/3/6/9 complete rounds left to play, you immediately get 1/2/3/4 wood. During scoring, each player with the most total vegetables gets 3 bonus points.",chris
E,136,Occupation,3+,Animal Husbandry Worker,,,,,,Bonus points - 4 Wood card competition,"If there are 3/6/9 complete rounds left to play, you immediately get 2/3/4 wood and a ""Build Fences"" action. During scoring, each player with the most pastures gets 2 bonus points.",really_unknow4
E,137,Occupation,3+,Flax Farmer,,,,,,Goods - get,"Each time you use the ""Reed Bank"" accumulation space, you also get 1 grain. Each time you use the ""Grain Seeds"" action space, you also get 1 reed.",beso
E,138,Occupation,3+,Livestock Expert,,,,,,Goods - get,"If you play this card in round 11 or before, choose an animal type: You immediately get a number of animals of that type equal to the number you already have on your farm.",luki
E,139,Occupation,3+,Bunny Breeder,,,,,,Food,"Select a future round space, subtract the number of the current round from it, and place this many food on that space. At the start of that round, you get the food.",barbarossa89
E,140,Occupation,3+,Carter,,,,,,Food,"Next round, each time you use a building resource accumulation space, you also get 1 food for each building resource that you take from the space.",oxmond
E,141,Occupation,3+,Vegetable Vendor,,,,,,Crops,"Each time you use the ""Major Improvement"" or ""Vegetable Seeds"" action space, you also get 1 vegetable or a ""Major or Minor Improvement"" action, respectively.",ss
E,142,Occupation,3+,Smuggler,,,,,,Crops,"In the feeding phase of each harvest, you can exchange up to 2 goods as follows: [1 Wood => 1 Grain] or [1 Grain => 1 Stone]",chriss
E,143,Occupation,3+,Hewer,,,,,,Building Resources - Clay or Stone,"From round 3 on, at the end of each work phase in which all clay accumulation spaces are unoccupied, you get 1 stone and 1 food.",azwandahlan
E,144,Occupation,3+,Wares Salesman,,,,,,Building Resources - Reed,"Each time any player (including you) plays or builds a card that lets them turn building resources into food, you get exactly 1 corresponding building resource and 1 reed.",mattthelesser
E,145,Occupation,3+,Parvenu,,,,,,Building Resources - Reed,"If you play this card in round 7 or before, immediately double the amount of clay or reed in your supply.",oxmond
E,146,Occupation,3+,Reseller,,,,,,Building Resources - all,"Once this game, immediately after playing or building an improvement, you can choose to get its printed cost from the general supply.",luki
E,147,Occupation,3+,Animal Driver,,,,,,Animals - all,"At the start of each harvest, if you have 1/2/3+ fenced stables, you get 1 sheep/wild boar/cattle.",beso
E,148,Occupation,4+,Lazybones,,,,,,Farmyard - Place for animals,"Place (up to) 1 stable each on ""Grain Seeds"", ""Farmland"", ""Day Laborer"", and ""Farm Expansion"". Build the stable at no cost when another player uses that action space.",cunning
E,149,Occupation,4+,Midnight Fencer,,,,,,Farmyard,"At the start of the last harvest, you can take up to 2 of each other player's unbuilt fences and build them on your farm at no cost. (Your farm can then have over 15 fences.)",cunning
E,150,Occupation,4+,Rock Beater,,,,,,Action,You can use an action space providing both stone and a different building resource even if it is occupied by another player. Stone rooms cost you 2 stone less.,chris
E,151,Occupation,4+,Delivery Nurse,,,,,,Action,"Once this game, if you have all types of animals, you can turn a ""Family Growth"" action into a ""Family Growth Even without Room"" action.",beso
E,152,Occupation,4+,Bargain Hunter,,,,,,Action - Improvements or Occupations,"At the start of each round, you can place 1 food from your supply on the ""Traveling Players"" accumulation space to play a minor improvement by paying its cost.",nwoll
E,153,Occupation,4+,Stone Sculptor,,,,,,Bonus points,"Each harvest, you can use this card to exchange exactly 1 stone for 1 bonus point and 1 food.",keith
E,154,Occupation,4+,Margrave,,,,,,Bonus points,"Once you live in a stone house, you get 2 food each time any player (including you) renovates and, during scoring, 1 bonus point for each wood house and clay house.",guy
E,155,Occupation,4+,Visionary,,,,,,Goods - get,"If you play this card in round 4 or before, you get 1 stone, 1 vegetable, and 2 wild boar. You cannot grow your family until round 11, unless all other players already have.",chris
E,156,Occupation,4+,Claypit Owner,,,,,,Goods - get,"Each time another player plays or builds an improvement with a printed clay cost, you get 1 food and 1 clay.",inoshishi
E,157,Occupation,4+,Usufructuary,,,,,,Food,"When you play this card as your first occupation, you immediately get 1 food for every other occupation in play (by any player), up to a maximum of 7 food.",tamos
E,158,Occupation,4+,Stone Custodian,,,,,,Food,"At the end of each work phase, you get 1 food for each stone accumulation space with stone on it.",agentricola
E,159,Occupation,4+,Old Miser,,,,,,Food,"In the feeding phase of each harvest, each of your people requires 1 less food. During scoring, your people are worth 2 points each instead of 3.",keith
