Status,Ban,Deck,Number,Type,Player(s),Name,Cost,Cost text,VPs,Prerequisites,Passing Left,Card Category,Text
X,,B,32,Minor Improvement,,Kettle,1 Clay,,,1 Grain Field,,Points Provider,"At any time, you can exchange 1/3/5 grain for 3/4/5 food and 0/1/2 bonus points."
V,,B,33,Minor Improvement,,Mantlepiece,1 Stone,,-3,Clay or Stone House,,Points Provider,"When you play this card, you immediately get 1 bonus point for each complete round left to play. You may no longer renovate your house."
,,B,34,Minor Improvement,,Special Food,,,,No Animal,,Points Provider,"The next time you take animals from an accumulation space and accommodate all of them on your farm, you get 1 bonus point for each of these animals."
X,,B,35,Minor Improvement,,Hook Knife,1 Wood,,,,,Points Provider,"Once this game, when you have 9/8/7/6/5/5 sheep on your farm in a 1-/2-3-/4-/5-/6- player game, you immediately get 2 bonus points."
V,,B,36,Minor Improvement,,Bottles,see below,,4,,,Points Provider,"For each person you have, you must pay an additional 1 clay and 1 food to play this card."
X,,B,37,Minor Improvement,,Grange,,,3,6 Field Tiles and All Animal Types,,Points Provider,"When you play this card, you immediately get 1 food."
?,,B,38,Minor Improvement,,Future Building Site,,,3,Play in Round 4 or Before,,Points Provider,"Up until all other farmyard spaces are used, you cannot use the unused spaces that are orthogonally adjacent to your house."
V,,B,39,Minor Improvement,,Loom,1 Wood,,1,2 Occupations,,Points Provider,"In the field phase of each harvest, if you have at least 1/4/7 sheep, you get 1/2/3 food. During scoring, you get 1 bonus point for every 3 sheep."
X,,B,40,Minor Improvement,,Brewery Pond,,,-1,2 Occupations,,Goods Provider,"Each time you use the ""Fishing"" or ""Reed Bank"" accumulation space, you also get 1 grain and 1 wood."
?,,B,41,Minor Improvement,,Hauberg,3 Food,,,3 Occupations,,Goods Provider,"Alternate placing 2 wood and 1 wild boar on the next 4 round spaces. You decide what to start with. At the start of these rounds, you get the goods."
,,B,42,Minor Improvement,,Forest Inn,"1 Clay,1 Reed",,,Play in Round 6 or Before,,Goods Provider,"This is an action space for all. A player who uses it can exchange 5/7/9 wood for 8 wood and 2/4/7 food. When another player uses it, they must first pay you 1 food."
X,,B,43,Minor Improvement,,Chophouse,,2 Wood/2 Clay,1,,,Food Provider,"Each time you use the ""Grain/Vegetable Seed"" action space, place 1 food on each of the next 3/2 round spaces. At the start of these rounds, you get the food."
X,,B,44,Minor Improvement,,Chick Stable,,1 Wood/1 Clay,,,,Food Provider,"Add 3 and 4 to the current round and place 2 food on each corresponding round space. At the start of these rounds, you get the food."
V,,B,45,Minor Improvement,,Strawberry Patch,1 Wood,,2,2 Vegetable Fields,,Food Provider,"Place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food."
X,,B,46,Minor Improvement,,Club House,,3 Wood/2 Clay,1,,,Food Provider,"Place 1 food on each of the next 4 round spaces and 1 stone on the round space after that. At the start of these rounds, you get the respective good."
V,,B,47,Minor Improvement,,Herring Pot,1 Clay,,,,,Food Provider,"Each time you use the ""Fishing"" accumulation space, place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food."
X,,B,48,Minor Improvement,,Forest Stone,,2 Wood/1 Stone,1,1 Occupation,,Food Provider,"Place 2 food on this card. Each time you use a wood accumulation space, move 1 of these food to your supply. Each time you use a stone accumulation space, add 2 food to this card."
X,,B,49,Minor Improvement,,Scales,1 Wood,,,No Occupation,,Food Provider,"Each time after you place an improvement or occupation in front of you, if you then have the same number of improvements and occupations in play, you get 2 food."
V,,B,50,Minor Improvement,,Butter Churn,1 Wood,,1,At Most 3 Occupations,,Food Provider,"In the field phase of each harvest, you get 1 food for every 3 sheep and 1 food for every 2 cattle you have."
X,,B,51,Minor Improvement,,Digging Spade,1 Wood,,,Play in Round 7 or Later,,Food Provider,"Each time you use a clay accumulation space, you also get a number of food equal to the number of wild boar in your farmyard."
?,,B,52,Minor Improvement,,Growing Farm,"2 Clay,1 Reed",,2,see below,,Food Provider,"You can only play this card if you have at least as many pasture spaces as the number of completed rounds. If you do, you get a number of food equal to the current round."
?,,B,53,Minor Improvement,,Sculpture Course,1 Grain,,,,,Food Provider,"At the end of each round that does not end with a harvest, you can use this card to exchange your choice of 1 wood for 2 food, or 1 stone for 4 food."
,,B,54,Minor Improvement,,Tumbrel,1 Wood,,,,,Food Provider,"When you play this card, you immediately get 2 food. Each time after you take an unconditional ""Sow"" action, you get 1 food for each stable you have."
X,,B,55,Minor Improvement,,Maintenance Premium,,,,2 Occupations,,Food Provider,"Place 3 food on this card. Each time you use a wood accumulation space, you get 1 food from this card. Each time you renovate restock this card to 3 food."
V,,B,56,Minor Improvement,,Brook,,"1 of Your People on ""Fishing""",,,,Food Provider,"Each time you use one of the four action spaces above the ""Fishing"" accumulation space, you get 1 additional food."
V,,B,57,Minor Improvement,,Scullery,"1 Wood,1 Clay",,,,,Food Provider,"At the start of each round, if you live in a wooden house, you get 1 food."
X,,B,58,Minor Improvement,,Crack Weeder,1 Wood,,,,,Food Provider,"When you play this card, you immediately get 1 food. For each vegetable you take from a field in the field phase of a harvest, you also get 1 food."
?,,B,59,Minor Improvement,,Food Chest,1 Wood,,,,,Food Provider,"If you play this card on the ""Major Improvement"" action space, you immediately get 4 food. Otherwise, you get only 2 food."
X,,B,60,Minor Improvement,,Brewing Water,,,,,,Food Provider,"Each time you use the ""Fishing"" accumulation space, you can pay 1 grain to place 1 food on each of the next 6 round spaces. At the start of these rounds, you get the food."
V,,B,61,Minor Improvement,,Three-Field Rotation,,,,3 Occupations,,Food Provider,"At the start of the field phase of each harvest, if you have at least 1 grain field, 1 vegetable field, and 1 empty field, you get 3 food."
V,,B,62,Minor Improvement,,Pitchfork,1 Wood,,,,,Food Provider,"Each time you use the ""Grain Seeds"" action space, if the ""Farmland"" action space is occupied you also get 3 food."
X,,B,63,Minor Improvement,,Tasting,2 Wood,,1,,,Food Provider,"Each time you use a ""Lessons"" action space, before paying the occupation cost, you can exchange 1 grain for 4 food."
X,,B,64,Minor Improvement,,Mill Wheel,2 Wood,,1,,,Food Provider,"Each time you use the ""Grain Utilization"" action space while the ""Fishing"" accumulation space is occupied, you get an additional 2 food."
,,B,65,Minor Improvement,,Grain Depot,,2 Wood/2 Clay/2 Stone,,,,Crop Provider,"If you paid wood/clay/stone for this card, place 1 grain on each of the next 2/3/4 round spaces. At the start of these rounds, you get the grain."
V,,B,66,Minor Improvement,,Sack Cart,2 Wood,,,2 Occupations,,Crop Provider,"Place 1 grain each on the remaining spaces for rounds 5, 8, 11, and 14. At the start of these rounds, you get the grain."
X,,B,67,Minor Improvement,,Hand Truck,1 Wood,,,,,Crop Provider,"Each time before you take a ""Bake Bread"" action, you also get 1 grain for each of your people occupying an accumulation space."
V,,B,68,Minor Improvement,,Beanfield,1 Food,,1,2 Occupations,,Crop Provider,This card is a field that can only grow vegetables.
X,,B,69,Minor Improvement,,Potters Market,2 Wood,,1,,,Crop Provider,"At any time, you can pay 4 clay and 2 food. If you do, place 1 vegetable on each of the next 2 round spaces. At the start of these rounds, you get the vegetable."
,,B,70,Minor Improvement,,New Purchase,,,,,,Crop Provider,"Before the start of each round that ends with a harvest, you can buy one of each of the following crops: 2 Food → 1 Grain; 4 Food → 1 Vegetable"
,,B,71,Minor Improvement,,Harvest House,"1 Wood,1 Clay,1 Reed",,2,,,Crop Provider,"When you play this card, if the number of completed harvests is equal to the number of occupations you played, you immediately get 1 food, 1 grain, and 1 vegetable."
,,B,72,Minor Improvement,,Love for Agriculture,,,,,,Crop Provider,"You can sow crops in pastures covering 1 or 2 farmyard spaces. If you do, these pastures are also considered fields and hold 1 and 2 animals less, respectively."
X,,B,73,Minor Improvement,,Gift Basket,1 Reed,,1,3 Occupations,,Crop Provider,"When you play this card, if you have exactly 2/3/4/5 rooms, you immediately get 1 vegetable/food/grain/vegetable."
V,,B,74,Minor Improvement,,Thick Forest,5 Clay in Your Supply,,,,,Building Resource Provider,"Place 1 wood on each remaining even-numbered round space. At the start of these rounds, you get the wood."
?,,B,75,Minor Improvement,,Wood Workshop,1 Clay,,,1 Occupation,,Building Resource Provider,"Each time before you play or build an improvement, you get 1 wood."
,,B,76,Minor Improvement,,Ceilings,1 Clay,,,1 Occupation,,Building Resource Provider,"Place 1 wood on the next 5 round spaces. At the start of these rounds, you get the wood. Remove the wood promised by this card from future round spaces the next time you renovate."
V,,B,77,Minor Improvement,,Loam Pit,1 Food,,1,3 Occupations,,Building Resource Provider,"Each time you use the ""Day Laborer"" action space, you also get 3 clay."
X,,B,78,Minor Improvement,,Reed Belt,2 Food,,,,,Building Resource Provider,"Place 1 reed on each of the remaining space for rounds 5, 8, 10, and 12. At the start of these rounds, you get the reed."
X,,B,79,Minor Improvement,,Corf,1 Reed,,,,,Building Resource Provider,"Each time any player (including you) takes at least 3 stone from an accumulation space, you get 1 stone from the general supply."
V,,B,80,Minor Improvement,,Hard Porcelain,1 Clay,,,,,Building Resource Provider,"At any time, you can exchange 2/3/4 clay for 1/2/3 stone."
?,,B,81,Minor Improvement,,Handcart,1 Wood,,,,,Building Resource Provider,"Before each work phase, you can take 1 building resource from at most one wood/clay/reed/stone accumulation space containing at least 6/5/4/4 building resources of the same type."
X,,B,82,Minor Improvement,,Value Assets,,,,,,Building Resource Provider,"After each harvest, you can buy exactly one of the following goods: 1 Food → 1 Wood; 1 Food → 1 Clay; 2 Food → 1 Reed; 2 Food → 1 Stone"
X,,B,83,Minor Improvement,,Muddy Puddles,2 Clay,,,,,Livestock Provider,"Pile (from bottom to top) 1 wild boar, 1 food, 1 cattle, 1 food, and 1 sheep on this card. At any time, you can pay 1 clay to take the top good."
V,,B,84,Minor Improvement,,Acorns Basket,1 Reed,,,3 Occupations,,Livestock Provider,"Place 1 wild boar on each of the 2 round spaces. At the start of these rounds, you get the wild boar."
,,B,85,Occupation,1+,Farm Hand,,,,,,Farm Planner,"Once you have 4 field tiles arranged in a 2x2, you can use a ""Build Stables"" action to build a stable in the center of the 2x2. This stable provides room for a person but no animal."
X,,B,86,Occupation,1+,Truffle Searcher,,,,,,Farm Planner,This card can hold a number of wild boar equal to the number of completed feeding phases.
V,,B,87,Occupation,1+,Cottager,,,,,,Farm Planner,"Each time you use the ""Day Laborer"" action space, you can also either build exactly 1 room or renovate your house. Either way, you have to pay the cost."
X,,B,88,Occupation,1+,Established Person,,,,,,Farm Planner,"If your house has exactly 2 rooms, immediately renovate it without paying any building resources. If you do, you can immediately afterward take a ""Build Fences"" action."
V,,B,89,Occupation,1+,Groom,,,,,,Farm Planner,"When you play this card, you immediately get 1 wood. Once you live in a stone house, at the start of each round, you can build exactly 1 stable for 1 wood."
X,,B,90,Occupation,1+,Cooperative Plower,,,,,,Farm Planner,"Each time you use the ""Farmland"" action space while the ""Grain Seeds"" action space is occupied, you can plow 1 additional field."
V,,B,91,Occupation,1+,Assistant Tiller,,,,,,Farm Planner,"Each time you use the ""Day Laborer"" action space, you can also plow 1 field."
X,,B,92,Occupation,1+,Little Stick Knitter,,,,,,Actions Booster,"From Round 5 on, each time you use the ""sheep Market"" accumulation space, you can also take a ""Family Growth with Room Only"" action."
?,,B,93,Occupation,1+,Confidant,,,,,,Actions Booster,"Place 1 food from your supply on each of the next 2, 3, or 4 round spaces. At the start of these rounds, you get the food back and your choice of a ""sow"" or ""Build Fences"" action."
?,,B,94,Occupation,1+,Stock Protector,,,,,,Actions Booster,"Each time before you use the ""Fencing"" action space, you get 2 wood. Immediately after that ""Fencing"" action, you can place another person."
V,,B,95,Occupation,1+,Master Bricklayer,,,,,,Actions Booster,"Each time you build a major improvement, reduce the stone cost by the number of rooms you have built onto you initial house."
X,,B,96,Occupation,1+,Tree Farm Joiner,,,,,,Actions Booster,"Place 1 wood on each of the next 2 odd-numbered round spaces. At the start of these rounds, you get the wood and, immediately afterward, a ""Minor Improvement"" action."
V,,B,97,Occupation,1+,Scholar,,,,,,Actions Booster,"Once you live in a stone house, at the start of each round, you can play an occupation for an occupation cost of 1 food, or a minor improvement (by paying its cost)."
V,,B,98,Occupation,1+,Organic Farmer,,,,,,Points Provider,"During the scoring, you get 1 bonus point for each pasture containing at least 1 animal while having unused capacity for at least three more animals."
V,,B,99,Occupation,1+,Tutor,,,,,,Points Provider,"During scoring, you get 1 bonus point for each occupation played after this one."
,,B,100,Occupation,1+,Clutterer,,,,,,Points Provider,"During scoring, you get 1 bonus point for each card played after this on that has ""accumulation space(s)"" in its text."
X,,B,101,Occupation,1+,Furniture Carpenter,,,,,,Points Provider,"Each harvest, if any player (including you) owns the Joinery or an upgrade thereof, you can buy exactly 1 bonus point for 2 food."
V,,B,102,Occupation,1+,Consultant,,,,,,Goods Provider,"When you play this card in a 1-/2-/3-/4- player game, you immediately get 2 grain/3 clay/2 reed/2 sheep."
,,B,103,Occupation,1+,Field Merchant,,,,,,Goods Provider,"When you play this card, you immediately get 1 wood and 1 reed. Each time you decline a ""Minor/Major Improvement"" action, you get 1 food/vegetable instead."
V,,B,104,Occupation,1+,Sheep Walker,,,,,,Goods Provider,"At any time, you can exchange 1 sheep for either 1 wild boar, 1 vegetable, or 1 stone."
X,,B,105,Occupation,1+,Case Builder,,,,,,Goods Provider,"When you play this card, you immediately get 1 good of each of the following types, If you have at least 2 of that good in your supply already, food, grain, vegetable, reed, wood."
X,,B,106,Occupation,1+,Moral Crusader,,,,,,Food Provider,"Immediately before the start of each round, if there are goods on the remaining round space that are promised to you, you get 1 food."
V,,B,107,Occupation,1+,Manservant,,,,,,Food Provider,"Once you live in a stone house, place 3 food on each remaining round space. At the start of these rounds, you get the food."
V,,B,108,Occupation,1+,Oven Firing Boy,,,,,,Food Provider,"Each time you use a wood accumulation space, you get an additional ""Bake Bread"" action."
V,,B,109,Occupation,1+,Paper Maker,,,,,,Food Provider,"Immediately before playing each occupation after this one, you can pay 1 wood total to get 1 food for each occupation you have in front of you."
X,,B,110,Occupation,1+,Pavior,,,,,,Food Provider,"At the end of each preparation phase, if you have at least 1 stone in your supply, you get 1 food. In round 14, you get 1 vegetable instead."
X,,B,111,Occupation,1+,Rustic,,,,,,Food Provider,"For each clay room you build, you get 2 food and 1 bonus point. (this does not apply to stone rooms and renovated wood rooms.)"
X,,B,112,Occupation,1+,Silokeeper,,,,,,Crop Provider,"Each time you use the action space card that has been revealed right before the most recent harvest, you also get 1 grain."
X,,B,113,Occupation,1+,Patch Caregiver,,,,,,Crop Provider,"When you play this card, you can choose to buy 1 grain for 1 food, or 1 vegetable for 3 food. This card is a field."
V,,B,114,Occupation,1+,Childless,,,,,,Crop Provider,"At the start of each round, if you have at least 3 rooms but only 2 people, you get 1 food and 1 crop of your choice (grain or vegetable)"
,,B,115,Occupation,1+,Tinsmith Master,,,,,,Crop Provider,"You can hold 1 additional animal in each pasture without a stable. Each time you sow in a field, you can place 1 additional crop of the respective type in that field."
?,,B,116,Occupation,1+,Shoreforester,,,,,,Building Resource Provider,"When you play this card and each time 1 reed is placed on an empty ""Reed Bank"" accumulation space in the preparation phase, you get 1 wood."
X,,B,117,Occupation,1+,Informant,,,,,,Building Resource Provider,"When you play this card, you immediately get 1 wood. After each work phase, if you have more stone than clay in your supply, you get 1 wood."
V,,B,118,Occupation,1+,Small-scale Farmer,,,,,,Building Resource Provider,"As long as you live in a house with exactly 2 rooms, at the start of each round, you get 1 wood."
X,,B,119,Occupation,1+,Lumberjack,,,,,,Building Resource Provider,"You immediately get 1 wood. Additionally, place 1 wood on each of the next round spaces, up to the number of fences you built. At the start of these rounds, you get the wood."
,,B,120,Occupation,1+,Sweep,,,,,,Building Resource Provider,"Each time before you use the action space card left of the card that has been most recently placed on a round space, you get 2 clay."
V,,B,121,Occupation,1+,Geologist,,,,,,Building Resource Provider,"Each time you use the ""Forest"" or ""Reed Bank"" accumulation space, you also get 1 clay. In games with 3 or more players, this also applies to the ""Clay Pit""."
X,,B,122,Occupation,1+,Mineralogist,,,,,,Building Resource Provider,"Each time you use a clay/stone accumulation space, you also get 1 of the other good, stone/clay."
V,,B,123,Occupation,1+,Roof Ballaster,,,,,,Building Resource Provider,"When you play this card, you can immediately pay 1 food to get 1 stone for each room you have."
?,,B,124,Occupation,1+,Trimmer,,,,,,Building Resource Provider,"In each work phase, after you enclose at least one farmyard space, you get 2 stone. (Subdividing an existing pasture does not count.)"
X,,B,125,Occupation,1+,Estate Worker,,,,,,Building Resource Provider,"Place 1 wood, 1 clay, 1 reed, and 1 stone in this order on the next 4 round spaces. At the start of these rounds, you get the respective building resource."
V,,B,126,Occupation,1+,Carpenter,,,,,,Building Resource Provider,"Every new room only costs you 3 of the appropriate building resource and 2 reed (e.g. if you live in a wooden house, 3 wood and 2 reed)."
X,,B,127,Occupation,3+,Seducer,,,,,,Farm Planner,"When you play this card in round 5 or later, you can immediately pay 1 stone, 1 grain, 1 vegetable, and 1 sheep to take a ""Family Growth Even without Room"" action."
,,B,128,Occupation,3+,Plumber,,,,,,Farm Planner,"Each time after you use the ""Major Improvement"" action space, you can take a ""renovation"" action, paying 2 clay or 2 stone less for the renovation."
?,,B,129,Occupation,3+,Seatmate,,,,,,Actions Booster,You can use the action space on round space 13 even if it is occupied by one or more people of the players to your immediate left and right.
,,B,130,Occupation,3+,Full Peasant,,,,,,Actions Booster,"Each time after you use the ""Grain Utilization"" or ""Fencing"" action space while the other is unoccupied, you can pay 1 food to use the other space with the same person."
X,,B,131,Occupation,3+,Equipper,,,,,,Actions Booster,"Immediately after each time you use a wood accumulation space, you can play a minor improvement."
,Ban,B,132,Occupation,3+,Estate Master,,,,,,Points Provider,"Once you have no unused farmyard spaces left, you get 1 bonus point for each vegetable that you harvest."
X,,B,133,Occupation,3+,Village Peasant,,,,,,Points Provider,"At the start of scoring, you get a number of vegetables equal to the smallest of the numbers of major improvements, minor improvements, and occupations you have."
X,,B,134,Occupation,3+,Housebook Master,,,,,,Points Provider,"After playing this card, if you renovate to stone in round 13/12/11 or before, you immediately get 1/2/3 food and 1/2/3 bonus points."
X,,B,135,Occupation,3+,Nutrition Expert,,,,,,Points Provider,"At the start of each round, you can exchange a set comprised of 1 animal of any type, 1 grain, and 1 vegetable for 5 food and 2 bonus points."
V,,B,136,Occupation,3+,House Steward,,,,,,Points Provider,"If there are still 1/3/6/9 complete rounds left to play, you immediately get 1/2/3/4 wood. During scoring, each player with the most rooms gets 3 bonus points."
X,,B,137,Occupation,3+,Wholesaler,,,,,,Goods Provider,"Place 1 vegetable, 1 wild boar, 1 stone, and 1 cattle on this card. Each time you use an action space card on round spaces 8 to 11, you get the corresponding good from this card."
,,B,138,Occupation,3+,Forest Guardian,,,,,,Goods Provider,"When you play this card, you immediately get 2 wood. Each time before another player takes at least 5 wood from an accumulation space, they must first pay you 1 food."
X,,B,139,Occupation,3+,Forest Scientist,,,,,,Food Provider,"In the returning home phase of each round, if there is no wood left on the game board, you get 1 food—from round 5 on, even 2 food."
,,B,140,Occupation,3+,Farmyard Worker,,,,,,Food Provider,"At the end of each work phase in which you placed at least 1 good on 1 of your farmyard spaces, you get 2 food."
?,,B,141,Occupation,3+,Field Caretaker,,,,,,Crop Provider,"When you play this card, you can immediately exchange 0/1/3 clay for 1/2/3 grain. This card is a field."
V,,B,142,Occupation,3+,Greengrocer,,,,,,Crop Provider,"Each time you use the ""Grain Seeds"" action space, you also get 1 vegetable."
X,,B,143,Occupation,3+,Clay Warden,,,,,,Building Resource Provider,"Each time another player uses the ""Hollow"" accumulation space, you get 1 clay. In a 3-/4-player game, you also get 1 additional clay/food."
X,,B,144,Occupation,3+,Collier,,,,,,Building Resource Provider,"Each time after you use the ""Clay Pit"" or ""Hollow"" accumulation space, you get 1 wood. On ""Clay Pit"" you also get 1 additional reed."
V,,B,145,Occupation,3+,Brushwood Collector,,,,,,Building Resource Provider,"Each time you renovate or build a room, you can replace the required 1 or 2 reed with a total of 1 wood."
,,B,146,Occupation,3+,Illusionist,,,,,,Building Resource Provider,"Each time you use a building resource accumulation space, you can discard exactly 1 card from your hand to get 1 additional building resource of the accumulating type."
X,,B,147,Occupation,3+,Huntsman,,,,,,Livestock Provider,"Each time after you use a wood accumulation space, you can pay 1 grain to get 1 wild boar."
,,B,148,Occupation,4+,Pet Broker,,,,,,Farm Planner,"When you play this card, you immediately get 1 sheep. You can keep 1 sheep on each occupation in front of you."
,,B,149,Occupation,4+,Open Air Farmer,,,,,,Farm Planner,"When you play this card, you remove exactly 3 stables in your supply from play to build a pasture covering 2 farmyard spaces. You only need to pay a total of 2 wood for fences"
,,B,150,Occupation,4+,Large-Scale Farmer,,,,,,Actions Booster,"Each time after you use the ""Farm Expansion"" or ""Major Improvement"" action space while the other is unoccupied, you can pay 1 food to use that other space with the same person."
X,,B,151,Occupation,4+,Little Peasant,,,,,,Actions Booster,"You immediately get 1 stone. As long as you live in a wooden house with exactly 2 rooms, actions spaces—excluding Meeting Place—are not considered occupied for you."
,,B,152,Occupation,4+,Junior Artist,,,,,,Actions Booster,"Each time after you use the ""Day Laborer"" action space, you can pay 1 food to use an unoccupied ""Traveling Players"" or ""Lessons"" action space with the same person."
X,,B,153,Occupation,4+,Housemaster,,,,,,Points Provider,"During scoring, total the point values of your major improvements. The smallest value counts double. If the total is at least 5/7/9/11, you get 1/2/3/4 bonus points."
X,,B,154,Occupation,4+,Sheep Keeper,,,,,,Points Provider,"You can only play this card if you have less than 7 sheep. Once this game, when you have 7 sheep on your farm, you immediately get 3 bonus points and 2 food."
,,B,155,Occupation,4+,Art Teacher,,,,,,Goods Provider,"When you play this card, you immediately get 1 wood and 1 reed. Each time you pay an occupation cost, you can use food from the ""traveling Players"" accumulation space."
V,,B,156,Occupation,4+,Storehouse Keeper,,,,,,Goods Provider,"Each time you use the ""resource Market"" action space, you also get your choice of 1 clay or 1 grain."
,,B,157,Occupation,4+,Salter,,,,,,Food Provider,"At any time, you can pay 1 sheep/wild boar/cattle from you farm. If you do, place 1 food on each of the next 3/5/7 round spaces. At the start of these rounds, you get the food."
X,,B,158,Occupation,4+,District Manager,,,,,,Food Provider,"At the end of each work phase, if you used both the ""Forest"" and ""Grove"" accumulation spaces, you get 5 food."
,,B,159,Occupation,4+,Lieutenant General,,,,,,Food Provider,"For each field tile that another player places next to an existing field tile, you get 1 food from the general supply. In round 14, you get 1 grain instead."
