Status,Ban,Deck,Number,Type,Player(s),Name,Cost,Cost Text,VPs,Prerequisites,Passing Left,Card Category,Text
,,D,32,Minor Improvement,,Wood Rake,1 Wood,,,,,Points Provider,"During scoring, if you had at least 7 goods in your fields before the final harvest, you get 2 bonus points."
,Ban,D,33,Minor Improvement,,Summer House,"3 Wood,1 Stone",,,Still in Wooden House,,Points Provider,"During scoring, if you live in a stone house, you get 2 bonus points for each unused farmyard space orthogonally adjacent to your house. (You still lose the points for these unused spaces.)"
,,D,34,Minor Improvement,,Luxurious Hostel,"1 Wood,2 Clay",,,,,Points Provider,"During scoring, if you then have more stone rooms than people, you get 4 bonus points. You can only use one card to get bonus points for your stone house."
X,,D,35,Minor Improvement,,Fodder Chamber,"3 Stone,3 Grain",,2,,,Points Provider,"During scoring in a game with 1/2/3/4+ players, you get 1 bonus point for every 7th/5th/4th/3rd animal on your farm."
,,D,36,Minor Improvement,,Breed Registry,,,,No Sheep,,Points Provider,"During scoring, if you gained at most 2 sheep from sources other than breeding during the game and have not turned any sheep into food, you get 3 bonus points."
V,,D,37,Minor Improvement,,Sculpture,1 Stone,,2,see below,,Points Provider,You can only play this card if there are more complete rounds left to play than you have unused farmyard spaces.
V,,D,38,Minor Improvement,,Milking Stool,1 Wood,,,2 Occupations,,Points Provider,"In the field phase of each harvest, if you have at least 1/3/5 cattle, you get 1/2/3 food. During scoring, you get 1 bonus point for every 2 cattle you have."
V,,D,39,Minor Improvement,,Truffle Slicer,1 Wood,,,Play in Round 8 or Later,,Points Provider,"Each time you use a wood accumulation space, if you have at least 1 wild boar, you can pay 1 food for 1 bonus point."
X,,D,40,Minor Improvement,,Cesspit,,,-1,2 Fields and 1 Occupation,,Goods Provider,"Alternate placing 1 clay and 1 wild boar on each remaining round space, starting with clay. At the start of these rounds, you get the respective good."
V,,D,41,Minor Improvement,,Horse-Drawn Boat,2 Wood,,,3 Occupations,,Goods Provider,"Alternate placing 1 food and 1 sheep on each remaining round space, starting with food. At the start of these rounds, you get the respective good."
V,,D,42,Minor Improvement,,Education Bonus,1 Food,,,2 Improvements,,Goods Provider,"After you play your 1st/2nd/3rd/4th/5th/6th occupation this game, you immediately get 1 grain/clay/reed/stone/vegetable/field (not retroactively)."
V,,D,43,Minor Improvement,,Hutch,"1 Wood,1 Reed",,1,,,Food Provider,"Place 0, 1, 2, and 3 food in this order on the next 4 round spaces. At the start of these rounds, you get the food."
X,,D,44,Minor Improvement,,Forest Well,"1 Stone,1 Food",,1,2 Occupations,,Food Provider,"Place 1 food on each remaining round space, up to the amount of wood in your supply. At the start of these rounds, you get the food."
V,,D,45,Minor Improvement,,Sheep Well,2 Stone,,2,,,Food Provider,"Place 1 food on each of the next round spaces, up to the number of sheep you have. At the start of these rounds, you get the food."
X,,D,46,Minor Improvement,,Pellet Press,2 Clay,,,2 Occupations,,Food Provider,"Once per round, you can pay 1 reed. If you do, place 1 food on each of the next 4 round spaces. At the start of these rounds, you get the food."
X,,D,47,Minor Improvement,,Churchyard,"1 Stone,1 Reed",,1,10 Cards* in Front of You,,Food Provider,"Place 2 food on each remaining round space. At the start of these rounds, you get the food. (*Occupations and Improvements)"
,,D,48,Minor Improvement,,Civic Facade,1 Clay,,,3 Rooms,,Food Provider,"Before the start of each round, if you have more occupations than improvements in your hand, you get 1 food."
V,,D,49,Minor Improvement,,Bookshelf,1 Wood,,1,3 Occupations,,Food Provider,"Immediately before each time you play an occupation (even before paying the occupation cost), you get 3 food."
V,,D,50,Minor Improvement,,Foreign Aid,,,,Play in Round 11 or Before,,Food Provider,"When you play this card, you immediately get 6 food. You may no longer use the action spaces of rounds 12 to 14."
,Ban,D,51,Minor Improvement,,Archway,2 Clay,,4,No Occupations,,Food Provider,"This card is an action space for all. A player who uses it immediately gets 1 food. Immediately before the returning home phase, they can use an unoccupied action space with the person from this card."
X,,D,52,Minor Improvement,,Rolling Pin,1 Wood,,,1 Occupation,,Food Provider,"In the returning home phase of each round, if you have more clay than wood in your supply, you get 1 food."
,,D,53,Minor Improvement,,Tea House,"1 Wood,1 Stone",,2,Play in Round 6 or Later,,Food Provider,"Once per round, you can skip placing your second person and get 1 food instead. (You can place the person later that round.)"
X,,D,54,Minor Improvement,,Trout Pool,2 Clay,,1,,,Food Provider,"At the start of each work phase, if there are at least 3 food on the ""Fishing"" accumulation space, you get 1 food from the general supply."
X,,D,55,Minor Improvement,,New Market,"1 Wood,1 Clay",,1,,,Food Provider,"Each time you use an action space card on round spaces 8 to 11, you get 1 additional food."
,,D,56,Minor Improvement,,Fatstock Stretcher,1 Wood,,,,,Food Provider,"Each time you turn a sheep or wild boar into food using a baking improvement, you get 1 additional food."
X,,D,57,Minor Improvement,,Wholesale Market,"1 Wood, 2 Vegetable",,3,,,Food Provider,"Place 1 food on each remaining round space. At the start of these rounds, you get the food."
,,D,58,Minor Improvement,,Gritter,1 Wood,,,Play in Round 5 or Later,,Food Provider,"At the end of each action in which you sow vegetables in a field, you get 1 food for each vegetable field you have (including the new ones)."
X,,D,59,Minor/Major Improvement,,Earth Oven,,,3,Return a Fireplace,,Food Provider,"At any time: Vegetable → 3 Food; Sheep → 2 Food; Wild boar → 3 Food; Cattle → 3 Food ""Bake Bread"" action: Grain → 2 Food"
X,,D,60,Minor/Major Improvement,,Large Pottery,"1 Clay,1 Stone",,3,Return the Pottery,,Food Provider,At any time: Clay → 2 Food Scoring: 3/5/6/7 Clay → 1/2/3/4 bonus points
,,D,61,Minor Improvement,,Bale of Straw,,,,,,Food Provider,"At the start of each harvest, if you have at least 3 grain fields (including field cards with planted grain), you get 2 food."
X,,D,62,Minor Improvement,,Beer Tap,1 Wood,,,,,Food Provider,"When you play this card, you immediately get 2 food. In the feeding phase of each harvest, you can turn 2/3/4 grain into 3/6/9 food."
,,D,63,Minor Improvement,,Lynchet,,,,,,Food Provider,"In the field phase of each harvest, you get 1 food for each harvested field tile that is orthogonally adjacent to your house."
,,D,64,Minor Improvement,,Baking Course,,,,1 Occupation,,Food Provider,"At the end of each round that does not end with a harvest, you can take a ""Bake Bread"" action. ""Bake Bread"" action: Grain → 2 Food"
?,,D,65,Minor Improvement,,Grain Sieve,1 Wood,,,,,Crop Provider,"In the field phase of each harvest, if you harvest at least 2 grain, you get 1 additional grain from the general supply."
V,,D,66,Minor Improvement,,Potter Ceramics,,,,,,Crop Provider,"Each time before you take a ""Bake Bread"" action, you can exchange 1 clay for 1 grain."
X,,D,67,Minor Improvement,,Reap Hook,1 Wood,,,,,Crop Provider,"Place 1 grain on each of the next 3 of the round spaces 4, 7, 9, 11, 13, and 14. At the start of these rounds, you get the grain."
,,D,68,Minor Improvement,,Small Basket,,,,2 Occupations,,Crop Provider,"Each time you use the ""Reed Bank"" accumulation space, you can pay 1 reed to get 1 vegetable. If you do in a game with 4+ players, place that 1 reed on the accumulation space."
V,,D,69,Minor Improvement,,Small Greenhouse,2 Wood,,1,1 Occupation,,Crop Provider,"Add 4 and 7 to the current round and place 1 vegetable on each corresponding round space. At the start of these rounds, you can buy the vegetable for 1 food."
,,D,70,Minor Improvement,,Straw Manure,,,,2 Fields,,Crop Provider,"Before the field phase of each harvest, you can pay 1 grain from your supply to add 1 vegetable to each of up to 2 vegetable fields."
,,D,71,Minor Improvement,,Changeover,,,,,,Crop Provider,"At any time, if a field contains exactly 1 good as a result of a harvest, you can discard that good and immediately take a ""Sow"" action limited to that field."
,,D,72,Minor Improvement,,Stable Manure,,,,At Most 1 Occupation,,Crop Provider,"In the field phase of each harvest, you can harvest 1 additional good from a number of fields equal to the number of unfenced stables you have."
V,,D,73,Minor Improvement,,Supply Boat,1 Wood,,1,1 Occupation,,Crop Provider,"Each time after you use the ""Fishing"" accumulation space, you can choose to buy 1 grain for 1 food, or 1 vegetable for 3 food."
,,D,74,Minor Improvement,,Royal Wood,1 Food,,,,,Building Resource Provider,"At the end of each turn in which you use the ""Farm Expansion"" action space or build an improvement, you get 1 wood back for every 2 wood paid during those actions (rounded down)."
V,,D,75,Minor Improvement,,Wood Field,1 Food,,1,1 Occupation,,Building Resource Provider,"You can plant wood on this card as though it were 2 fields, but it is considered 1 field. Sow and harvest wood on this card as you would grain."
X,,D,76,Minor Improvement,,Social Benefits,1 Reed,,,At Most 1 Occupation,,Building Resource Provider,"Immediately after the feeding phase of each harvest, if you have no food left, you get 1 wood and 1 clay."
V,,D,77,Minor Improvement,,Recycled Brick,1 Food,,,3 Occupations,,Building Resource Provider,"Each time any player (including you) renovates to stone, you get 1 clay for each newly renovated room."
V,,D,78,Minor Improvement,,Reed Pond,,,,3 Occupations,,Building Resource Provider,"Place 1 reed on each of the next 3 round spaces. At the start of these rounds, you get the reed."
V,,D,79,Minor Improvement,,Carrot Museum,"1 Wood,2 Clay",,2,Play in Round 8 or Before,,Building Resource Provider,"At the end of rounds 8, 10, and 12, you get 1 stone for each vegetable field you have and a number of wood equal to the number of vegetables in your supply."
X,,D,80,Minor Improvement,,Brick Hammer,,1 Wood/1 Food,,,,Building Resource Provider,"Each time after you build an improvement costing at least 2 clay, you get 1 stone."
,,D,81,Minor Improvement,,Roof Ladder,1 Wood,,,,,Building Resource Provider,"Each time you renovate, you pay 1 fewer reed and, at the end of the action, you get 1 stone."
V,,D,82,Minor Improvement,,Hunting Trophy,,Return or Cook 1 Wild Boar,1,,,Building Resource Provider,"Improvements built on ""House Redevelopment"" cost you 1 building resource of your choice less. Fences built on ""Farm Redevelopment"" cost you a total of 3 wood less."
X,,D,83,Minor Improvement,,Pigswill,,2 Food/1 Grain,,,,Livestock Provider,"Each time you use the ""Fencing"" action space, you also get 1 wild boar."
V,,D,84,Minor Improvement,,Feed Pellets,,,,,,Livestock Provider,"When you play this card, you immediately get 1 sheep. In the feeding phase of each harvest, you can exchange exactly 1 vegetable for 1 animal of a type you already have."
,,D,85,Occupation,1+,Reader,,,,,,Farm Planner,"As soon as you have 6 occupations in front of you (including this one), this cards provides room for one person. In the draft variant, you need 7 occupations to play this."
,,D,86,Occupation,1+,Sheep Agent,,,,,,Farm Planner,"You can keep 1 sheep on each occupation card in front of you (including this one), unless it is already able to hold animals."
V,,D,87,Occupation,1+,Master Builder,,,,,,Farm Planner,"Once your house has at least 5 rooms, at any time, but only once this game, you can add another room at no cost."
V,,D,88,Occupation,1+,Millwright,,,,,,Farm Planner,"You immediately get 1 grain. Each time you build fences, stables, and rooms, or renovate your house, you can replace up to 2 building resources of any type with 1 grain each."
V,,D,89,Occupation,1+,Stablehand,,,,,,Farm Planner,"Each time you build at least 1 fence, you can also build a stable without paying wood for the stable."
V,,D,90,Occupation,1+,Plow Maker,,,,,,Farm Planner,"Each time you use the ""Farmland"" or ""Cultivation"" action space, you can pay 1 food to plow 1 additional field."
V,,D,91,Occupation,1+,Plowman,,,,,,Farm Planner,"Add 4, 7, and 10 to the current round and place a field tile on each corresponding round space. At the start of these rounds, you can plow the field for 1 food."
,,D,92,Occupation,1+,Child Ombudsman,,,,,,Actions Booster,"From round 5 on, if you have room in your house, at the end of each person action, you can take a ""Family Growth"" action with that person. If you do, you get 2 negative points."
,,D,93,Occupation,1+,Sheep Inspector,,,,,,Actions Booster,"Once per work phase, after you complete a person action, you can pay 1 sheep and 2 food to return another person you placed home."
,,D,94,Occupation,1+,Henpecked Husband,,,,,,Actions Booster,"Each time you take a ""Build Rooms"" action with the second person you place, return the first person you placed home, unless it is on the ""Meeting Place"" action space."
,,D,95,Occupation,1+,Site Manager,,,,,,Actions Booster,"When you play this card, immediately build a major improvement. When paying its cost, you can replace up to 1 building resource of each type with 1 food each."
V,,D,96,Occupation,1+,Furnisher,,,,,,Actions Booster,"When you play this card, you immediately get 2 wood. After each new room you build, you can build or play 1 improvement for 1 wood less."
V,,D,97,Occupation,1+,Begging Student,,,,,,Actions Booster,"When you play this card, you must immediately take 1 begging marker. At the start of each harvest, you can play 1 occupation without paying an occupation cost."
V,,D,98,Occupation,1+,Transactor,,,,,,Points Provider,"Immediately before the final harvest at the end of round 14, you can take all the building resources that are left on the entire game board."
,,D,99,Occupation,1+,Earthenware Potter,,,,,,Points Provider,"If you play this card in round 4 or before, after the final harvest, you get 1 bonus point for each person for which you then pay 1 clay."
X,,D,100,Occupation,1+,Lord of the Manor,,,,,,Points Provider,"During scoring, you get 1 bonus point for each scoring category in which you score the maximum 4 points. (The bonus point is also awarded for 4 fenced stables.)"
V,,D,101,Occupation,1+,Sugar Baker,,,,,,Points Provider,"Each time after you use the ""Grain Utilization"" action space, you can buy 1 bonus point for 1 food. Place the food on the action space (for the next visitor)."
,,D,102,Occupation,1+,Sample Stable Maker,,,,,,Goods Provider,"At the start of each returning home phase, you can return a built stable to your supply to get 1 wood, 1 grain, 1 food, and a ""Minor Improvement"" action."
,,D,103,Occupation,1+,Canal Boatman,,,,,,Goods Provider,"Each time you use ""Fishing"" or ""Reed Bank"", you can pay 1 food to immediately place another person on this card. If you do, you get your choice of 3 stone or 1 grain plus 1 vegetable."
V,,D,104,Occupation,1+,Cultivator,,,,,,Goods Provider,"For each new field tile you get, you also get 1 wood and 1 food."
X,,D,105,Occupation,1+,Sculptor,,,,,,Goods Provider,"Each time you use a clay accumulation space, you also get 1 food. Each time you use a stone accumulation space, you also get 1 grain."
X,,D,106,Occupation,1+,Whisky Distiller,,,,,,Food Provider,"At any time, you can pay 1 grain. If you do, add 2 to the current round and place 4 food on the corresponding round space. At the start of that round, you get the food."
V,,D,107,Occupation,1+,Bellfounder,,,,,,Food Provider,"In the returning home phase of each round, if you have at least 1 clay, you can use this card to discard all of your clay and get your choice of 3 food or 1 bonus point."
V,,D,108,Occupation,1+,Stone Carver,,,,,,Food Provider,"Each harvest, you can use this card to turn exactly 1 stone into 3 food."
?,,D,109,Occupation,1+,Sowing Master,,,,,,Food Provider,"When you play this card, you immediately get 1 wood. Each time after you use an action space with the ""Sow"" action, you get 2 food."
,,D,110,Occupation,1+,Fish Farmer,,,,,,Food Provider,"Each time there is 1/2/3+ food on the ""Fishing"" accumulation space, you get an additional 2 food on the ""Reed Bank""/ ""Clay Pit""/ ""Grove"" accumulation spaces."
V,,D,111,Occupation,1+,Interior Decorator,,,,,,Food Provider,"Each time you renovate, place 1 food on each of the next 6 round spaces. At the start of these rounds, you get the food."
,,D,112,Occupation,1+,Young Farmer,,,,,,Crop Provider,"Each time you use the ""Major Improvement"" action space, you also get 1 grain and, afterward, you can take a ""Sow"" action."
,,D,113,Occupation,1+,Food Merchant,,,,,,Crop Provider,"For each grain you harvest from a field, you can buy 1 vegetable for 3 food. If you harvest the last grain from a field, the vegatble costs you only 2 food."
V,,D,114,Occupation,1+,Seed Trader,,,,,,Crop Provider,Place 2 grain and 2 vegetables on this card. You can buy them at any time. Each grain costs 2 food; each vegetable costs 3 food.
V,,D,115,Occupation,1+,Fodder Planter,,,,,,Crop Provider,"In the breeding phase of each harvest, for each newborn animal you get, you can sow crops in exactly 1 field."
,,D,116,Occupation,1+,Tree Inspector,,,,,,Building Resource Provider,"This card is a ""1 Wood"" accumulation space for you only. Each time the newly revealed action space card is a ""Quarry"" accumulation space, you must discard all wood from this card."
V,,D,117,Occupation,1+,Wood Expert,,,,,,Building Resource Provider,"When you play this card, you immediately get 2 wood. Each improvement costs you up to 2 wood less, if you pay 1 food instead."
V,,D,118,Occupation,1+,Bonehead,,,,,,Building Resource Provider,"When you play this card, immediately place 6 wood on it. Immediately after each time you play a card from your hand, including this one, you get 1 wood from this card."
V,,D,119,Occupation,1+,Wood Barterer,,,,,,Building Resource Provider,"Each time before you use an action space with a ""Build Fences"" or ""Build Rooms"" action, you can choose to either get 2 wood or exchange up to 2 wood for 1 reed each."
V,,D,120,Occupation,1+,Clay Deliveryman,,,,,,Building Resource Provider,"Place 1 clay on each remaining space for rounds 6 to 14. At the start of these rounds, you get the clay."
V,,D,121,Occupation,1+,Clay Plasterer,,,,,,Building Resource Provider,Renovating to clay only costs you exactly 1 clay and 1 reed. Each clay room only costs you 3 clay and 2 reed to build.
V,,D,122,Occupation,1+,Clay Seller,,,,,,Building Resource Provider,"When you play this card, you immediately get 2 clay. At any time, but only once per round, you can buy 2 clay for 2 food."
X,,D,123,Occupation,1+,Renovation Preparer,,,,,,Building Resource Provider,"For each new wood/clay room you build, you get 2 clay/2 stone."
,,D,124,Occupation,1+,Emissary,,,,,,Building Resource Provider,"At any time, you can place a good from your supply on this card to get 1 stone. You must place different goods on this card. (Food is also considered a good.)"
X,,D,125,Occupation,1+,Forest Trader,,,,,,Building Resource Provider,"Each time you use a wood or clay accumulation space, you can also buy exactly 1 building resource. Wood, clay, and reed cost 1 food each; stone costs 2 food."
,,D,126,Occupation,1+,Field Cultivator,,,,,,Building Resource Provider,"Pile 1 wood, 1 clay, 1 reed, 1 stone, 1 reed, 1 clay, and 1 wood on this card. Each time you harvest a field tile, you can also take the top good from the pile."
,,D,127,Occupation,3+,Hardworking Man,,,,,,Farm Planner,"This card is an action space for you only. If each other player has more rooms than you, it provides the ""Day Laborer"", ""Building Rooms"", and ""Major Improvement"" actions (all three)."
V,,D,128,Occupation,3+,Building Tycoon,,,,,,Farm Planner,"Each time after another player builds 1 or more rooms, you can give them 1 food to build exactly 1 room yourself. (You must pay the building cost of the room.)"
,,D,129,Occupation,3+,Lumber Virtuoso,,,,,,Actions Booster,"Each harvest in which you have at least 5 wood in your supply, you can discard down to 5 wood to take a ""Build Stables"" or ""Build Wood Rooms"" action by paying the usual costs."
X,,D,130,Occupation,3+,Recreational Carpenter,,,,,,Actions Booster,"At the end of each work phase in which you did not use the ""Meeting Place"" action space, you can take a ""Build Rooms"" action without placing a person."
,,D,131,Occupation,3+,Craftsmanship Promoter,,,,,,Actions Booster,"When you play this card, you immediately get 1 stone. You can build any of the major improvements in the bottom row of the supply board even when taking a ""Minor Improvement"" action."
V,,D,132,Occupation,3+,Hide Farmer,,,,,,Points Provider,"During scoring, you can pay 1 food each for any number of unused farmyard spaces. If you do, you do not lose points for these spaces."
X,,D,133,Occupation,3+,Beer Tent Operator,,,,,,Points Provider,"In the feeding phase of each harvest, you can use this card to turn 1 wood plus 1 grain into 1 bonus point and 2 food."
,,D,134,Occupation,3+,Oyster Eater,,,,,,Points Provider,"Each time the ""Fishing"" accumulation space is used, you get 1 bonus point and must skip placing your next person that round. (You can place the person on a later turn.)"
X,,D,135,Occupation,3+,Gardening Head Official,,,,,,Points Provider,"If there are still 3/6/9 complete rounds left to play, you immediately get 2/3/4 wood. During scoring, each player with the most vegetables in their fields gets 2 bonus points."
X,,D,136,Occupation,3+,Animal Activist,,,,,,Points Provider,"If there are still 3/6/9 complete rounds left to play, you immediately get 2/3/4 wood. During scoring, each player with the most fenced stables gets 2 bonus points."
,,D,137,Occupation,3+,Trade Teacher,,,,,,Goods Provider,"Each time after you use a ""Lesson"" action space, you can buy up to 2 different goods: grain, stone, sheep, and wild boar for 1 food each; cattle and vegetable for 2 food each."
V,,D,138,Occupation,3+,Pet Lover,,,,,,Goods Provider,"Each time you use an accumulation space providing exactly 1 animal, you can leave it on the space and get one from the general supply instead, as well as 3 food and 1 grain."
X,,D,139,Occupation,3+,Chairman,,,,,,Food Provider,"Each time another player uses the ""Meeting Place"" action space, both they and you get 1 food (before taking the actions). If you use it, you get 1 food."
X,,D,140,Occupation,3+,Loudmouth,,,,,,Food Provider,"Each time you take at least 4 building resources or 4 animals from an accumulation space, you also get 1 food."
V,,D,141,Occupation,3+,Seed Seller,,,,,,Crop Provider,"When you play this card, you immediately get 1 grain. Each time you use the ""Grain Seeds"" action space, you get 1 additional grain."
,,D,142,Occupation,3+,Potato Planter,,,,,,Crop Provider,"At the end of each work phase in which you occupy the ""Clay Pit"" or ""Reed Bank"" accumulation space while the respective other is unoccupied, you get 1 vegetable."
,,D,143,Occupation,3+,Tree Cutter,,,,,,Building Resource Provider,"Each time you use an accumulation space providing at least 3 goods of the same type except wood, you get an additional 1 wood. (Food is also considered a good.)"
V,,D,144,Occupation,3+,Water Worker,,,,,,Building Resource Provider,"Each time after you use the ""Fishing"" accumulation space or one of the three orthogonally adjacent actions spaces, you get 1 additional reed."
X,,D,145,Occupation,3+,Roof Examiner,,,,,,Building Resource Provider,"When you play this card, if you have 1/2/3/4 major improvements, you immediately get 2/3/4/5 reed."
V,,D,146,Occupation,3+,Porter,,,,,,Building Resource Provider,"Each time you take at least 4 of the same building resource from an accumulation space, you get 1additional building resource of the accumulating type and 1 food."
X,,D,147,Occupation,3+,Trap Builder,,,,,,Livestock Provider,"Each time you use the ""Day Laborer"" action space, place 1 food, 1 food, and 1 wild boar on the next 3 round spaces, respectively. At the start of these rounds, you get the good."
V,,D,148,Occupation,4+,Domestician Expert,,,,,,Farm Planner,You can keep 2 sheep on the border between each pair of orthogonally adjacent rooms.
,,D,149,Occupation,4+,Casual Worker,,,,,,Farm Planner,"Each time another player uses a ""Quarry"" accumulation space, you can choose to get 1 food or build a stable without paying wood."
,,D,150,Occupation,4+,Godly Spouse,,,,,,Actions Booster,"Each time you take a ""Family Growth"" action with the second person you place in a round, return the first person you placed home."
,,D,151,Occupation,4+,Spin Doctor,,,,,,Actions Booster,"Immediately after each time you use the ""Traveling Players"" accumulation space, you can place another person on an action space of your choice, regardless whether or not the action space is occupied."
V,,D,152,Occupation,4+,Patron,,,,,,Actions Booster,"Immediately before each time you play an occupation after this one (even before paying the occupation cost), you get 2 food."
X,,D,153,Occupation,4+,Wealthy Man,,,,,,Points Provider,"At the start of each of the 1st/2nd/3rd/4th/5th/6th harvest, if you have at least 1/2/3/4/5/6 grain fields, you get 1 bonus point."
V,,D,154,Occupation,4+,Chimney Sweep,,,,,,Points Provider,"Renovating to stone costs you 2 stone less. During scoring, you get 1 bonus point for each other player living in a stone house."
X,,D,155,Occupation,4+,Ebonist,,,,,,Goods Provider,"Each harvest, you can use this card to turn exactly 1 wood into 1 food and 1 grain."
,,D,156,Occupation,4+,Retail Dealer,,,,,,Goods Provider,"Place 3 grain and 3 food on this card. Each time you use the ""Resource Market"" action space, you also get 1 grain and 1 food from this card."
