Status,Ban,Deck,Number,Type,Player(s),Name,Cost,Text cost,VPs,Prerequisites,Passing Left,Card Category,Text
,,A,23,Minor Improvement,,Stone Company,"2 Clay,1 Reed",,1,,,Actions Booster,"Immediately after each time you use a ""Quarry"" accumulation space, you get a ""Major or Minor Improvement"" action during which you must spend at least 1 stone."
V,,A,24,Minor Improvement,,Threshing Board,1 Wood,,1,2 Occupations,,Actions Booster,"Each time you use the ""Farmland"" or ""Cultivation"" action space, you get an additional ""Bake Bread"" action."
X,,A,25,Minor Improvement,,Bassinet,"1 Wood,1 Reed",,,,,Actions Booster,"Each work phase, you can place a(nother) person on the first non-accumulating action space used by any player (including you), as long as there is only 1 person on that space."
V,,A,26,Minor Improvement,,Sleeping Corner,1 Wood,,1,2 Grain Fields,,Actions Booster,"You can use any ""Wish for Children"" action space even if it is occupied by one other player's person."
X,,A,27,Minor Improvement,,Oven Site,,,,Both Fireplace and Cooking Hearth,,Actions Booster,"When you play this card, you get 2 wood and you can immediately build the ""Clay Oven"" or ""Stone Oven"" major improvement. Either way, it only costs you 1 clay and 1 stone."
X,,A,28,Minor Improvement,,Forest School,"1 Wood,1 Clay",,1,,,Actions Booster,"You can consider the ""Lessons"" action spaces not occupied. You can replace each food that an occupation costs with wood."
X,,A,29,Minor Improvement,,Ale-Benches,1 Wood,,,2 Occupations,,Points Provider,"In the returning home phase of each round, you can pay exactly 1 grain from your supply to get 1 bonus point. If you do, each other player gets 1 food."
X,,A,30,Minor Improvement,,Baking Sheet,,,,No Grain Field,,Points Provider,"Each time you take a ""Bake Bread"" action, you can use this card to exchange exactly 1 grain for 2 food and 1 bonus point."
X,,A,31,Minor Improvement,,Debt Security,2 Food,,,,,Points Provider,"During scoring, you get 1 bonus point for each major improvement you have, up to the number of your unused farmyard spaces."
V,,A,32,Minor Improvement,,Manger,2 Wood,,,,,Points Provider,"During scoring, if your pastures cover at least 6/7/8/10 farm yard spaces, you get 1/2/3/4 bonus points."
V,Ban,A,33,Minor Improvement,,Big Country,,,,All Farmyard Spaces Used,,Points Provider,"For each complete round left to play, you immediately get 1 bonus point and 2 food."
,,A,34,Minor Improvement,,Loppers,1 Wood,,,2 Occupations,,Points Provider,"Each time you build 1 or more fences, you can also use this card to exchange 1 wood and 1 fence in your supply for 2 food and 1 bonus point."
X,,A,35,Minor Improvement,,Swimming Class,1 Food,,,2 Occupations,,Points Provider,"In the returning home phase of each round, if you return a person from the ""Fishing"" accumulation space, you get 2 bonus points for each newborn that you return home."
X,,A,36,Minor Improvement,,Facades Carving,"2 Clay,1 Reed",,,Wood in Your Supply >= Current Round,,Points Provider,"When you play this card, you can exchange any number of food for 1 bonus point each, up to the number of completed harvests."
X,,A,37,Minor Improvement,,Bucksaw,1 Wood,,,,,Points Provider,"Each time you renovate, you can also pay 1 wood to get 1 bonus point and 1 grain."
V,,A,38,Minor Improvement,,Wool Blankets,,,,5 Sheep,,Points Provider,"During scoring, if you live in a wooden/clay/stone house by then, you get 3/2/0 bonus points."
,,A,39,Minor Improvement,,Chapel,"3 Wood,2 Clay",,3,2 Occupations,,Points Provider,"This is an action space for all. A player who uses it gets 3 bonus points. If another player uses it, they must first pay you 1 grain."
,,A,40,Minor Improvement,,Potter's Yard,"1 Wood,1 Reed",,,At Most 7 Unused Farmyard Spaces,,Goods Provider,"Immediately place 1 clay on each unused space in your farmyard. Each time you turn a space into a used space, you get the clay and you can immediately exchange it for 2 food."
X,,A,41,Minor Improvement,,Vegetable Slicer,1 Wood,,,,,Goods Provider,"Each time you upgrade a Fireplace to a Cooking Hearth, you immediately get 2 wood and 1 vegetable (not retroactively)."
X,,A,42,Minor Improvement,,Forest Lake Hut,2 Clay,,1,,,Goods Provider,"Each time you use the ""Fishing""/""Forest"" accumulation space, you also get 1 wood/food."
X,,A,43,Minor Improvement,,Farmyard Manure,,,,1 Animal,,Food Provider,"Each time you build 1 or more stables in one turn, you place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food."
V,,A,44,Minor Improvement,,Pond Hut,1 Wood,,1,Exactly 2 Occupations,,Food Provider,"Place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food."
X,,A,45,Minor Improvement,,Fire Protection Pond,1 Food,,,Still in Wooden House,,Food Provider,"Once you no longer live in a wooden house, place 1 food on each of the next 6 round spaces. At the start of these rounds, you get the food."
X,,A,46,Minor Improvement,,Claw Knife,1 Wood,,,Exactly 1 Pasture,,Food Provider,"Each time you use the ""Sheep Market"" accumulation space, place 1 food on each of the next 2 round spaces. At the start of these rounds, you get the food."
X,,A,47,Minor Improvement,,Trellises,1 Wood,,,,,Food Provider,"Immediately place 1 food on each of the next round spaces, up to the number of fences you have built. At the start of these rounds, you get the food."
,Ban,A,48,Minor Improvement,,Shaving Horse,1 Wood,,,,,Food Provider,"Each time after you obtain at least 1 wood, if you then have 5 or more wood in your supply, you can exchange 1 wood for 3 food. With 7 or more wood, you must do so."
X,,A,49,Minor Improvement,,Nest Site,1 Food,,,1 Occupation,,Food Provider,"Each time 1 reed is placed on a non-empty ""Reed Bank"" accumulation space during the preparation phase, you get 1 food."
V,,A,50,Minor Improvement,,Milk Jug,1 Clay,,,,,Food Provider,"Each time any player (including you) uses the ""Cattle Market"" accumulation space, you get 3 food, and each other player gets 1 food."
X,,A,51,Minor Improvement,,Drift-Net Boat,"1 Wood,1 Reed",,1,,,Food Provider,"Each time you use the ""Fishing"" accumulation space, you get an additional 2 food."
X,,A,52,Minor Improvement,,Throwing Axe,1 Wood,,,Play in Round 7 or Later,,Food Provider,"Each time you use a wood accumulation space while there is at least 1 wild boar on the ""Pig Market"" accumulation space, you also get 2 food."
V,,A,53,Minor Improvement,,Claypipe,1 Clay,,,,,Food Provider,"In the returning home phase of each round, if you gained at least 7 building resources in the preceding work phase, you get 2 food."
X,,A,54,Minor Improvement,,Credit,,,,At Most 3 Occupations,,Food Provider,"When you play this card, you immediately get 5 food. At the end of each round that does not end with a harvest, you must pay 1 food, or else take a begging marker."
V,,A,55,Minor Improvement,,Junk Room,"1 Wood,1 Clay",,,,,Food Provider,"Each time after you build an improvement, including this one, you get 1 food."
V,,A,56,Minor Improvement,,Basket,1 Reed,,,,,Food Provider,"Immediately after each time you use a wood accumulation space, you can exchange 2 wood for 3 food. If you do, place those 2 wood on the accumulation space."
X,,A,57,Minor Improvement,,Milking Parlor,2 Wood,,1,At Least 4 Unused Farmyard Spaces,,Food Provider,"When you play this card, if you have at least 1/3/4 sheep, you immediately get 2/3/4 food. The same applies if you have at least 1/2/3 cattle."
,,A,58,Minor Improvement,,Asparagus Knife,1 Wood,,,,,Food Provider,"In the returning home phase of rounds 8, 10, and 12, you can take 1 vegetable from exactly 1 vegetable field. You can immediately exchange it for 3 food and 1 bonus point."
?,,A,59,Minor Improvement,,Potato Ridger,1 Wood,,,,,Food Provider,"Each time after you harvest 1+ vegetables, if you then have 3+ vegetables in your supply, you can turn exactly 1 vegetable into 6 food. With 4+ vegetables, you must do so."
?,,A,60,Minor/Major Improvement,,Oriental Fireplace,,Return Fireplace/Cooking Hearth,1,,,Food Provider,"At any time: Vegetable → 4 Food; Sheep → 3 Food; Cattle → 5 Food ""Bake Bread"" action: Grain → 2 Food"
,,A,61,Minor Improvement,,Winnowing Fan,1 Reed,,,Baking Improvement,,Food Provider,"After the field phase of each harvest, you can use a baking improvement but only to turn exactly 1 grain into food. (This is not considered a ""Bake Bread"" action.)"
X,,A,62,Minor Improvement,,Beer Keg,1 Wood,,,2 Grain in Your Supply,,Food Provider,"In the feeding phase of each harvest, you can use this card to exchange 1/2/3 grain for 0/1/2 bonus points and exactly 3 food."
V,,A,63,Minor Improvement,,Dutch Windmill,"2 Wood,2 Stone",,2,,,Food Provider,"Each time you take a ""Bake Bread"" action in a round immediately following a harvest, you get 3 additional food."
X,,A,64,Minor Improvement,,Barley Mill,,"1 Wood,4 Clay/2 Stone",1,,,Food Provider,"In the field phase of each harvest, you get 1 food for each grain field that you harvest."
?,,A,65,Minor Improvement,,Seed Pellets,,,,3 Fields,,Crop Provider,"Each time before you take an unconditional ""Sow"" action, you get 1 grain."
X,,A,66,Minor Improvement,,Feeding Dish,1 Wood,,,,,Crop Provider,"Each time you use an animal accumulation space while already having an animal of that type, you get 1 grain."
V,,A,67,Minor Improvement,,Corn Scoop,1 Wood,,,,,Crop Provider,"Each time you use the ""Grain Seeds"" action space, you get 1 additional grain."
X,,A,68,Minor Improvement,,Asparagus Gift,,,,1 Unplanted Field,,Crop Provider,"Each time you build a number of fences equal to or great than the current round, you immediately get 1 vegetable."
V,,A,69,Minor Improvement,,Large Greenhouse,2 Wood,,,2 Occupations,,Crop Provider,"Add 4, 7, and 9 to the current round and place 1 vegetable on each corresponding round space. At the start of these rounds, you get the vegetable."
?,,A,70,Minor Improvement,,Lifting Machine,1 Wood,,,3 Fields,,Crop Provider,"At the end of each round that does not end with a harvest, you can move 1 vegetable from one of your fields to your supply. (This is not considered a field phase.)"
V,,A,71,Minor Improvement,,Clearing Spade,1 Wood,,,,,Crop Provider,"At any time, you can move 1 crop from a planted field containing at least 2 crops to an empty field."
?,,A,72,Minor Improvement,,Calcium Fertilizers,,,,No Field Tiles,,Crop Provider,"Each time you use a ""Quarry"" accumulation space, add 1 additional good of the respective type to each of your planted fields growing a single type of crop."
,,A,73,Minor Improvement,,Agricultural Fertilizers,,,,1 Pasture,,Crop Provider,"Each time after you turn at least 2 unused spaces into used spaces in one action, you get an additional ""Sow"" action."
X,,A,74,Minor Improvement,,Stable Tree,1 Wood,,,,,Building Resource Provider,"Each time you build 1 or more stables on your turn, place 1 wood on each of the next 3 round spaces. At the start of these rounds, you get the wood."
V,,A,75,Minor Improvement,,Lumber Mill,2 Stone,,2,At Most 3 Occupations,,Building Resource Provider,Every improvement costs you 1 wood less.
X,,A,76,Minor Improvement,,Cob,1 Food,,,,,Building Resource Provider,"At the start of each work phase, if you have at least 1 clay in your supply, you can exchange exactly 1 grain for 2 clay and 1 food."
X,,A,77,Minor Improvement,,Hod,1 Wood,,,,,Building Resource Provider,"When you play this card, you immediately get 1 clay. Each time any player (including you) uses the ""Pig Market"" accumulation space, you immediately get 2 clay."
V,,A,78,Minor Improvement,,Canoe,2 Wood,,1,1 Occupation,,Building Resource Provider,"Each time you use the ""Fishing"" accumulation space, you get an additional 1 food and 1 reed."
,,A,79,Minor Improvement,,Garden Hoe,1 Wood,,,,,Building Resource Provider,"Each time you take an unconditional ""Sow"" action planting vegetables in at least 1 field, you get 1 clay and 1 stone."
V,,A,80,Minor Improvement,,Stone Tongs,1 Wood,,,,,Building Resource Provider,"Each time you use a stone accumulation space, you get 1 additional stone."
?,,A,81,Minor Improvement,,Interim Storage,2 Food,,,,,Building Resource Provider,"Each time you use a clay/reed/stone accumulation space, place 1 wood/clay/reed on this card. At the start of rounds 7, 11, and 14, move all the goods on this card to your supply."
?,,A,82,Minor Improvement,,Work Certificate,,,,3 Occupations,,Building Resource Provider,"Each time after you use an action space, you can take 1 building resource from a building resource accumulation space with at least 4 building resources on it."
V,,A,83,Minor Improvement,,Shepherd's Crook,1 Wood,,,,,Livestock Provider,"Each time you fence a new pasture covering at least 4 farmyard spaces, you immediately get 2 sheep on this pasture."
,,A,84,Minor Improvement,,Silage,,,,2 Fields,,Livestock Provider,"In each returning home phase after which there is no harvest, you can pay exactly 1 grain—even from a field-to breed exactly one type of animal."
X,,A,85,Occupation,1+,Homekeeper,,,,,,Farm Planner,Exactly one clay or stone room in your house can hold an additional person if the room is adjacent to both a field and a pasture.
V,,A,86,Occupation,1+,Animal Tamer,,,,,,Farm Planner,"When you play this card, you immediately get your choice of 1 wood or 1 grain. Instead of just 1 animal total, you can keep any 1 animal in each room of your house."
V,,A,87,Occupation,1+,Conservator,,,,,,Farm Planner,You can renovate your wooden house directly to stone without renovating it to clay first.
V,,A,88,Occupation,1+,Hedge Keeper,,,,,,Farm Planner,"Each time you take a ""Build Fences"" action, you do not have to pay wood for 3 of the fences you build."
?,,A,89,Occupation,1+,Stable Planner,,,,,,Farm Planner,"Add 3, 6, and 9 to the current round. You can place 1 stable on each corresponding round space. A the start of these rounds (not earlier), you can build the stable at no cost."
V,,A,90,Occupation,1+,Plow Driver,,,,,,Farm Planner,"Once you live in a stone house, at the start of each round, you can pay 1 food to plow 1 field."
X,,A,91,Occupation,1+,Shifting Cultivator,,,,,,Farm Planner,"Each time you use a wood accumulation space, you can also play 3 food to plow 1 field."
V,,A,92,Occupation,1+,Adoptive Parents,,,,,,Actions Booster,"For 1 food, you can take an action with offspring in the same round you get it. If you do, the offspring does not count as ""newborn""."
,Ban,A,93,Occupation,1+,Bed Maker,,,,,,Actions Booster,"Each time you add rooms to your house, you can also pay 1 wood and 1 grain to immediately get a ""Family Growth with Room Only"" action."
,,A,94,Occupation,1+,Lazy Sowman,,,,,,Actions Booster,"Each time you decline an unconditional ""Sow"" action on your turn, you can immediately place another person on an action space of your choice (even if it is occupied)."
X,,A,95,Occupation,1+,Angler,,,,,,Actions Booster,"Each time after you use the ""Fishing"" Accumulation space while there are at most 2 food on that space, you get a ""Major or Minor Improvement"" action."
X,,A,96,Occupation,1+,Task Artisan,,,,,,Actions Booster,"When you play this card and each time a stone accumulation space appears on a round space in the preparation phase, you get 1 wood and a ""Minor Improvement"" action."
,,A,97,Occupation,1+,Freshman,,,,,,Actions Booster,"Each time you get a ""Bake Bread"" action, instead of taking the action, you can play an occupation without paying an occupation cost."
V,,A,98,Occupation,1+,Stable Architect,,,,,,Points Provider,"During scoring, you get 1 bonus point for each unfenced stable in your farmyard."
X,,A,99,Occupation,1+,Fellow Grazer,,,,,,Points Provider,"During scoring, you get 2 bonus points of reach pasture you have covering at least 3 farmyard spaces."
X,,A,100,Occupation,1+,Curator,,,,,,Points Provider,"In the returning home phase of each round, if you return at least 3 people from accumulation spaces, you can buy 1 bonus point for 1 food."
X,,A,101,Occupation,1+,Cookery Outfitter,,,,,,Points Provider,"During scoring, you get 1 bonus point for each cooking improvement you have."
V,,A,102,Occupation,1+,Grocer,,,,,,Goods Provider,"Pile the following goods on this card (wood, grain, reed, stone, vegetable, clay, reed, vegetable). At any time, you can buy the top good for 1 food."
X,,A,103,Occupation,1+,Portmonger,,,,,,Goods Provider,"Each time you take 1/2/3+ food from a food accumulation space, you also get 1 vegetable/grain/reed."
X,,A,104,Occupation,1+,Wood Harvester,,,,,,Goods Provider,"In the field phase of each harvest, you get 1 wood/1 food for each wood accumulation space with exactly 2 wood/at least 3 wood."
X,,A,105,Occupation,1+,Barrow Pusher,,,,,,Goods Provider,"For each new field tile you get, you also get 1 clay and 1 food."
X,,A,106,Occupation,1+,Slurry Spreader,,,,,,Food Provider,"In the field phase of each harvest, each time you take the last grain/vegetable from a field, you also get 2 food/1 food."
X,,A,107,Occupation,1+,Catcher,,,,,,Food Provider,"Each time you place your 1st/2nd/3rd person in a round on a building resource accumulation space with exactly 5/4/3 building resources, you get 1 food."
V,,A,108,Occupation,1+,Mushroom Collector,,,,,,Food Provider,"Immediately after each time you use a wood accumulation space, you can exchange 1 wood for 2 food. If you do, place the wood on the accumulation space."
X,,A,109,Occupation,1+,Small Trader,,,,,,Food Provider,"Each time you take a ""Major or Minor Improvement"" action to play an improvement from your hand, you also get 3 food."
V,,A,110,Occupation,1+,Roughcaster,,,,,,Food Provider,"Each time you build at least 1 clay room or renovate your house from clay to stone, you also get 3 food."
V,,A,111,Occupation,1+,Wall Builder,,,,,,Food Provider,"Each time you build at least 1 room, you can place 1 food on each of the next 4 round spaces. At the start of these rounds, you get the food."
V,,A,112,Occupation,1+,Scythe Worker,,,,,,Crop Provider,"When you play this card, you immediately get 1 grain. In the field phase of each harvest, you can harvest 1 additional grain from each of your grain fields."
?,,A,113,Occupation,1+,Heresy Teacher,,,,,,Crop Provider,"Each time you use a ""Lessons"" action space, you get 1 vegetable in each of your fields with at least 3 grain and no vegetable. Place the vegetable below the grain."
V,,A,114,Occupation,1+,Seasonal Worker,,,,,,Crop Provider,"Each time you use the ""Day Laborer"" action space, you get 1 additional grain. From round 6 on, you can choose to get 1 vegetable instead."
X,,A,115,Occupation,1+,Chief Forester,,,,,,Crop Provider,"Each time you use a wood accumulation space, you also get a ""Sow"" action for exactly 1 field."
V,,A,116,Occupation,1+,Wood Cutter,,,,,,Building Resource Provider,"Each time you use a wood accumulation space, you get 1 additional wood."
X,,A,117,Occupation,1+,Wood Carrier,,,,,,Building Resource Provider,"When you play this card, you immediately get 1 wood for each improvement in front of you."
X,,A,118,Occupation,1+,Treegardener,,,,,,Building Resource Provider,"In the field phase of each harvest, you get 1 wood and you can buy up to 2 additional wood for 1 food each."
V,,A,119,Occupation,1+,Firewood Collector,,,,,,Building Resource Provider,"Each time you use the ""Farmland"", ""Grain Seeds"", Grain Utilization"", or ""Cultivation"" action space, at the end of that turn, you get 1 wood."
V,,A,120,Occupation,1+,Clay Hut Builder,,,,,,Building Resource Provider,"Once you no longer live in a wooden house, place 2 clay on each of the next 5 round spaces. At the start of these rounds, you get the clay."
X,,A,121,Occupation,1+,Clay Puncher,,,,,,Building Resource Provider,"When you play this card and each time after you use a ""Lessons"" action space or the ""Clay Pit"" accumulation space, you get 1 clay."
X,,A,122,Occupation,1+,Pan Baker,,,,,,Building Resource Provider,"Each time you use the ""Grain Utilization"" action space, you also get 2 clay and 1 wood."
V,,A,123,Occupation,1+,Frame Builder,,,,,,Building Resource Provider,"Each time you build a room/renovate, but only once per room/action, you can replace exactly 2 clay or 2 stone with 1 wood."
?,,A,124,Occupation,1+,Knapper,,,,,,Building Resource Provider,"Each time before you use an action space card on round spaces 5 to 7, you get 1 stone."
V,,A,125,Occupation,1+,Priest,,,,,,Building Resource Provider,"When you play this card, if you live in a clay house with exactly 2 rooms, you immediately get 3 clay, 2 reed, and 2 stone."
?,,A,126,Occupation,1+,Master Workman,,,,,,Building Resource Provider,"Each time before you use an action space card on round spaces 1/2/3/4, you get 1 wood/clay/reed/stone."
,,A,127,Occupation,3+,Lodger,,,,,,Farm Planner,"This card provides room for one person, but only until the returning home phase of round 9. If, by then, there is no room elsewhere for that person, remove it from play."
?,,A,128,Occupation,3+,Riparian Builder,,,,,,Farm Planner,"Each time another player uses the ""Reed Bank"" accumulation space, you can build a room: if you build a clay/stone room, you get a discount of 1 clay/2 stone."
?,,A,129,Occupation,3+,Swagman,,,,,,Actions Booster,"Immediately after each time you use the ""Farm Expansion"" or ""Grain Seeds"" action space, you can use the respective other space with the same person (even if it is occupied)."
,,A,130,Occupation,3+,Mummy's Boy,,,,,,Actions Booster,"Once per round, when placing a person after your first two, you can place it on the action space with your 2nd person and use that space again. (Mark the action space)."
,Ban,A,131,Occupation,3+,Craft Teacher,,,,,,Actions Booster,"Each time after you build the major improvement ""Joinery"", ""Pottery"", and ""Basketmaker's Workshop"", you can play up to 2 occupations without paying an occupation cost."
,,A,132,Occupation,3+,Publican,,,,,,Points Provider,"Each time before another player takes an unconditional ""Sow"" action, you can give them 1 grain from your supply to get 1 bonus point."
V,Ban,A,133,Occupation,3+,Braggart,,,,,,Points Provider,"During the scoring, you get 2/3/4/5/7/9 bonus points for having at least 5/6/7/8/9/10 improvements in front of you."
X,,A,134,Occupation,3+,Full Farmer,,,,,,Points Provider,"When you play this card, you immediately get 1 wood and 1 clay. During scoring, you get 1 bonus point for each pasture you have holding the maximum number of animals."
X,,A,135,Occupation,3+,Animal Reeve,,,,,,Points Provider,"If there are still 1/3/6/9 complete rounds left to play, you immediately get 1/2/3/4 wood. During scoring, each player with 2+/3+/4+ animals of each type gets 1/3/5 bonus points."
X,,A,136,Occupation,3+,Drudgery Reeve,,,,,,Points Provider,"If there are still 1/3/6/9 complete rounds left to play, you immediately get 1/2/3/4 wood. During scoring, each player with 1+/2+/3+ building resources of each type gets 1/3/5 bonus points."
X,,A,137,Occupation,3+,Riverine Shepherd,,,,,,Goods Provider,"Each time you use the ""Sheep Market"" or ""Reed Bank"" accumulation space, you can also take 1 good from the respective other accumulation space, if possible."
V,,A,138,Occupation,3+,Harpooner,,,,,,Goods Provider,"Each time you use the ""Fishing"" accumulation space you can also pay 1 wood to get 1 food for each person you have, and 1 reed"
?,,A,139,Occupation,3+,Hollow Warden,,,,,,Food Provider,"When you play this card, you immediately get a ""Major Improvement"" action to build a Fireplace. Each time you use the ""Hollow"" accumulation space, you also get 1 food."
X,,A,140,Occupation,3+,Shovel Bearer,,,,,,Food Provider,"Each time you use the ""Clay Pit"" or ""Hollow"" accumulation space, you also get a number of food equal to the amount of clay on the respective other accumulation space."
X,,A,141,Occupation,3+,Turnip Farmer,,,,,,Crop Provider,"At the start of the returning home phase of each round, if both the ""Day Laborer"" and ""Grain Seeds"" action spaces are occupied, you get 1 vegetable."
X,,A,142,Occupation,3+,Cordmaker,,,,,,Crop Provider,"Each time any player (including you) takes at least 2 reed from the ""Reed Bank"" accumulation space, you can choose to take 1 grain or buy 1 vegetable for 2 food."
V,,A,143,Occupation,3+,Stonecutter,,,,,,Building Resource Provider,"Every improvement, room, and renovation costs you 1 stone less."
,,A,144,Occupation,3+,Sequestrator,,,,,,Building Resource Provider,Place 3 reed and 4 clay on this card. The next player to have 3 pastures/5 field tiles get the 3 reed/4 clay (not retroactively).
X,,A,145,Occupation,3+,Ropemaker,,,,,,Building Resource Provider,"At the end of each harvest, you get 1 reed from the general supply."
X,,A,146,Occupation,3+,Storehouse Steward,,,,,,Building Resource Provider,"Each time you take exactly 2/3/4/5 food from a food accumulation space, you also get 1 stone/reed/clay/wood. (If you take 6 or more food, you do not get a bonus good)."
V,,A,147,Occupation,3+,Animal Dealer,,,,,,Livestock Provider,"Each time you use the ""Sheep Market"", ""Pig Market"", ""or ""Cattle Market"" accumulation space, you can buy 1 additional animal of the respective type for 1 food."
X,,A,148,Occupation,4+,Woolgrower,,,,,,Farm Planner,This card can hold a number of sheep equal to the number of completed feeding phases.
?,,A,149,Occupation,4+,House Artist,,,,,,Farm Planner,"Each time you use the ""Traveling Players"" accumulation space, you also get a ""Build Rooms"" action. Each room you build during the action costs you 1 reed less."
X,,A,150,Occupation,4+,Stagehand,,,,,,Actions Booster,"Each time another player uses the ""Traveling Players"" accumulation space, you can take your choice of a ""Build Fences"", ""Build Stables"", or ""Build Rooms"" action."
,,A,151,Occupation,4+,Minstrel,,,,,,Actions Booster,"At the start of each returning home phase, if only one action space card on round space 1 to 4 is unoccupied, you can use that action space."
,,A,152,Occupation,4+,Night-School Student,,,,,,Actions Booster,"Each returning home phase in which no player returns a person from a ""Lessons"" action space, you can play an occupation for an occupation cost of 1 food."
?,,A,153,Occupation,4+,Pig Owner,,,,,,Points Provider,"The first time after you play this card that you have 5 wild boars on your farm, you immediately get 3 bonus points."
?,,A,154,Occupation,4+,Paymaster,,,,,,Points Provider,"Each time another player uses a food accumulation space, you can give them 1 grain from your supply to get 1 bonus point."
V,,A,155,Occupation,4+,Conjurer,,,,,,Goods Provider,"Each time you use the ""traveling Players"" accumulation space, you get an additional 1 wood and 1 grain."
?,,A,156,Occupation,4+,Buyer,,,,,,Goods Provider,"Each time another player uses a reed, stone, sheep, or wild boar accumulation space, you can pay them 1 food to get 1 good of the respective type from the general supply."
X,,A,157,Occupation,4+,Bohemian,,,,,,Food Provider,"At the start of each returning home phase, if at least one ""Lessons"" action space is unoccupied, you get 1 food."
X,,A,158,Occupation,4+,Culinary Artist,,,,,,Food Provider,"Each time another player uses the ""Traveling Players"" accumulation space, you can exchange your choice of 1 grain/sheep/vegetable for 4/5/7 food."
?,,A,159,Occupation,4+,Joiner of the Sea,,,,,,Food Provider,"Each time another player uses the ""Fishing""/""Reed Bank"" accumulation space, you can give them 1 wood to get 2 food/3 food from the general supply."
V,,A,160,Occupation,4+,Lutenist,,,,,,Crop Provider,"Each time another player uses the ""Traveling Players"" accumulation space, you get 1 food and 1 wood. Immediately after, you can buy exactly 1 vegetable for 2 food."
