A,88,Occupation,1+,Hedge Keeper,,,,,,Farm Planner,"Each time you take a ""Build Fences"" action, you do not have to pay wood for 3 of the fences you build."
A,90,Occupation,1+,Plow Driver,,,,,,Farm Planner,"Once you live in a stone house, at the start of each round, you can pay 1 food to plow 1 field."
A,92,Occupation,1+,Adoptive Parents,,,,,,Actions Booster,"For 1 food, you can take an action with offspring in the same round you get it. If you do, the offspring does not count as ""newborn""."
A,98,Occupation,1+,Stable Architect,,,,,,Points Provider,"During scoring, you get 1 bonus point for each unfenced stable in your farmyard."
A,102,Occupation,1+,Grocer,,,,,,Goods Provider,"Pile the following goods on this card (wood, grain, reed, stone, vegetable, clay, reed, vegetable). At any time, you can buy the top good for 1 food."
A,108,Occupation,1+,Mushroom Collector,,,,,,Food Provider,"Immediately after each time you use a wood accumulation space, you can exchange 1 wood for 2 food. If you do, place the wood on the accumulation space."
A,110,Occupation,1+,Roughcaster,,,,,,Food Provider,"Each time you build at least 1 clay room or renovate your house from clay to stone, you also get 3 food."
A,111,Occupation,1+,Wall Builder,,,,,,Food Provider,"Each time you build at least 1 room, you can place 1 food on each of the next 4 round spaces. At the start of these rounds, you get the food."
A,112,Occupation,1+,Scythe Worker,,,,,,Crop Provider,"When you play this card, you immediately get 1 grain. In the field phase of each harvest, you can harvest 1 additional grain from each of your grain fields."
A,114,Occupation,1+,Seasonal Worker,,,,,,Crop Provider,"Each time you use the ""Day Laborer"" action space, you get 1 additional grain. From round 6 on, you can choose to get 1 vegetable instead."
A,116,Occupation,1+,Wood Cutter,,,,,,Building Resource Provider,"Each time you use a wood accumulation space, you get 1 additional wood."
A,119,Occupation,1+,Firewood Collector,,,,,,Building Resource Provider,"Each time you use the ""Farmland"", ""Grain Seeds"", Grain Utilization"", or ""Cultivation"" action space, at the end of that turn, you get 1 wood."
A,120,Occupation,1+,Clay Hut Builder,,,,,,Building Resource Provider,"Once you no longer live in a wooden house, place 2 clay on each of the next 5 round spaces. At the start of these rounds, you get the clay."
A,123,Occupation,1+,Frame Builder,,,,,,Building Resource Provider,"Each time you build a room/renovate, but only once per room/action, you can replace exactly 2 clay or 2 stone with 1 wood."
A,125,Occupation,1+,Priest,,,,,,Building Resource Provider,"When you play this card, if you live in a clay house with exactly 2 rooms, you immediately get 3 clay, 2 reed, and 2 stone."
A,133,Occupation,3+,Braggart,,,,,,Points Provider,"During the scoring, you get 2/3/4/5/7/9 bonus points for having at least 5/6/7/8/9/10 improvements in front of you."
A,138,Occupation,3+,Harpooner,,,,,,Goods Provider,"Each time you use the ""Fishing"" accumulation space you can also pay 1 wood to get 1 food for each person you have, and 1 reed"
A,143,Occupation,3+,Stonecutter,,,,,,Building Resource Provider,"Every improvement, room, and renovation costs you 1 stone less."
A,147,Occupation,3+,Animal Dealer,,,,,,Livestock Provider,"Each time you use the ""Sheep Market"", ""Pig Market"", ""or ""Cattle Market"" accumulation space, you can buy 1 additional animal of the respective type for 1 food."
A,155,Occupation,4+,Conjurer,,,,,,Goods Provider,"Each time you use the ""traveling Players"" accumulation space, you get an additional 1 wood and 1 grain."
A,160,Occupation,4+,Lutenist,,,,,,Crop Provider,"Each time another player uses the ""Traveling Players"" accumulation space, you get 1 food and 1 wood. Immediately after, you can buy exactly 1 vegetable for 2 food."
A,165,Occupation,4+,Pig Breeder,,,,,,Livestock Provider,"When you play this card, you immediately get 1 wild boar. Your wild boar breed at the end of round 12 (if there is room for the new wild boar)."
B,2,Minor Improvement,,Mini Pasture,2 Food,,,,X,Farm Planner,"Immediately fence a farmyard space, without paying wood for the fences. (If you already have pastures, the new one must be adjacent to an existing one.)"
B,8,Minor Improvement,,Market Stall,1 Grain,,,,X,Crop Provider,"You immediately get 1 vegetable. (Effectively, you are exchanging 1 grain for 1 vegetable)."
B,10,Minor Improvement,,Caravan,"3 Wood,3 Food",,,,,Farm Planner,This card provides room for 1 person.
B,13,Minor Improvement,,Carpenter's Parlor,"1 Wood,1 Stone",,,,,Farm Planner,Wooden rooms only cost you 2 wood and 2 reed each.
B,16,Minor Improvement,,Mining Hammer,1 Wood,,,,,Farm Planner,"When you play this card, you immediately get 1 food. Each time you renovate, you can also build a stable without paying wood."
B,19,Minor Improvement,,Moldboard Plow,2 Wood,,,1 Occupation,,Farm Planner,"Place 2 field tiles on this card. Twice this game, when you use the ""Farmland"" action space, you can also plow 1 field from this card."
B,24,Minor Improvement,,Lasso,1 Reed,,,,,Actions Booster,"You can place exactly two people immediately after one another if at least one of them uses the ""Sheep Market"", ""Pig Market"", or ""Cattle Market"" accumulation space."
B,25,Minor Improvement,,Bread Paddle,1 Wood,,,,,Actions Booster,"When you play this card, you immediately get 1 food. For each occupation you play, you get an additional ""Bake Bread"" action."
B,33,Minor Improvement,,Mantlepiece,1 Stone,,-3,Clay or Stone House,,Points Provider,"When you play this card, you immediately get 1 bonus point for each complete round left to play. You may no longer renovate your house."
B,36,Minor Improvement,,Bottles,,see below,4,,,Points Provider,"For each person you have, you must pay an additional 1 clay and 1 food to play this card."
B,39,Minor Improvement,,Loom,1 Wood,,1,2 Occupations,,Points Provider,"In the field phase of each harvest, if you have at least 1/4/7 sheep, you get 1/2/3 food. During scoring, you get 1 bonus point for every 3 sheep."
B,45,Minor Improvement,,Strawberry Patch,1 Wood,,2,2 Vegetable Fields,,Food Provider,"Place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food."
B,47,Minor Improvement,,Herring Pot,1 Clay,,,,,Food Provider,"Each time you use the ""Fishing"" accumulation space, place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food."
B,50,Minor Improvement,,Butter Churn,1 Wood,,1,At Most 3 Occupations,,Food Provider,"In the field phase of each harvest, you get 1 food for every 3 sheep and 1 food for every 2 cattle you have."
B,56,Minor Improvement,,Brook,,"1 of Your People on ""Fishing""",,,,Food Provider,"Each time you use one of the four action spaces above the ""Fishing"" accumulation space, you get 1 additional food."
B,57,Minor Improvement,,Scullery,"1 Wood,1 Clay",,,,,Food Provider,"At the start of each round, if you live in a wooden house, you get 1 food."
B,61,Minor Improvement,,Three-Field Rotation,,,,3 Occupations,,Food Provider,"At the start of the field phase of each harvest, if you have at least 1 grain field, 1 vegetable field, and 1 empty field, you get 3 food."
B,62,Minor Improvement,,Pitchfork,1 Wood,,,,,Food Provider,"Each time you use the ""Grain Seeds"" action space, if the ""Farmland"" action space is occupied you also get 3 food."
B,66,Minor Improvement,,Sack Cart,2 Wood,,,2 Occupations,,Crop Provider,"Place 1 grain each on the remaining spaces for rounds 5, 8, 11, and 14. At the start of these rounds, you get the grain."
B,68,Minor Improvement,,Beanfield,1 Food,,1,2 Occupations,,Crop Provider,This card is a field that can only grow vegetables.
B,74,Minor Improvement,,Thick Forest,,5 Clay in Your Supply,,,,Building Resource Provider,"Place 1 wood on each remaining even-numbered round space. At the start of these rounds, you get the wood."
B,77,Minor Improvement,,Loam Pit,1 Food,,1,3 Occupations,,Building Resource Provider,"Each time you use the ""Day Laborer"" action space, you also get 3 clay."
B,80,Minor Improvement,,Hard Porcelain,1 Clay,,,,,Building Resource Provider,"At any time, you can exchange 2/3/4 clay for 1/2/3 stone."
B,84,Minor Improvement,,Acorns Basket,1 Reed,,,3 Occupations,,Livestock Provider,"Place 1 wild boar on each of the 2 round spaces. At the start of these rounds, you get the wild boar."
B,87,Occupation,1+,Cottager,,,,,,Farm Planner,"Each time you use the ""Day Laborer"" action space, you can also either build exactly 1 room or renovate your house. Either way, you have to pay the cost."
B,89,Occupation,1+,Groom,,,,,,Farm Planner,"When you play this card, you immediately get 1 wood. Once you live in a stone house, at the start of each round, you can build exactly 1 stable for 1 wood."
B,91,Occupation,1+,Assistant Tiller,,,,,,Farm Planner,"Each time you use the ""Day Laborer"" action space, you can also plow 1 field."
B,95,Occupation,1+,Master Bricklayer,,,,,,Actions Booster,"Each time you build a major improvement, reduce the stone cost by the number of rooms you have built onto you initial house."
B,97,Occupation,1+,Scholar,,,,,,Actions Booster,"Once you live in a stone house, at the start of each round, you can play an occupation for an occupation cost of 1 food, or a minor improvement (by paying its cost)."
B,98,Occupation,1+,Organic Farmer,,,,,,Points Provider,"During the scoring, you get 1 bonus point for each pasture containing at least 1 animal while having unused capacity for at least three more animals."
B,99,Occupation,1+,Tutor,,,,,,Points Provider,"During scoring, you get 1 bonus point for each occupation played after this one."
B,102,Occupation,1+,Consultant,,,,,,Goods Provider,"When you play this card in a 1-/2-/3-/4- player game, you immediately get 2 grain/3 clay/2 reed/2 sheep."
B,104,Occupation,1+,Sheep Walker,,,,,,Goods Provider,"At any time, you can exchange 1 sheep for either 1 wild boar, 1 vegetable, or 1 stone."
B,107,Occupation,1+,Manservant,,,,,,Food Provider,"Once you live in a stone house, place 3 food on each remaining round space. At the start of these rounds, you get the food."
B,108,Occupation,1+,Oven Firing Boy,,,,,,Food Provider,"Each time you use a wood accumulation space, you get an additional ""Bake Bread"" action."
B,109,Occupation,1+,Paper Maker,,,,,,Food Provider,"Immediately before playing each occupation after this one, you can pay 1 wood total to get 1 food for each occupation you have in front of you."
B,114,Occupation,1+,Childless,,,,,,Crop Provider,"At the start of each round, if you have at least 3 rooms but only 2 people, you get 1 food and 1 crop of your choice (grain or vegetable)"
B,118,Occupation,1+,Small-scale Farmer,,,,,,Building Resource Provider,"As long as you live in a house with exactly 2 rooms, at the start of each round, you get 1 wood."
B,121,Occupation,1+,Geologist,,,,,,Building Resource Provider,"Each time you use the ""Forest"" or ""Reed Bank"" accumulation space, you also get 1 clay. In games with 3 or more players, this also applies to the ""Clay Pit""."
B,123,Occupation,1+,Roof Ballaster,,,,,,Building Resource Provider,"When you play this card, you can immediately pay 1 food to get 1 stone for each room you have."
B,126,Occupation,1+,Carpenter,,,,,,Building Resource Provider,"Every new room only costs you 3 of the appropriate building resource and 2 reed (e.g. if you live in a wooden house, 3 wood and 2 reed)."
B,136,Occupation,3+,House Steward,,,,,,Points Provider,"If there are still 1/3/6/9 complete rounds left to play, you immediately get 1/2/3/4 wood. During scoring, each player with the most rooms gets 3 bonus points."
B,142,Occupation,3+,Greengrocer,,,,,,Crop Provider,"Each time you use the ""Grain Seeds"" action space, you also get 1 vegetable."
B,145,Occupation,3+,Brushwood Collector,,,,,,Building Resource Provider,"Each time you renovate or build a room, you can replace the required 1 or 2 reed with a total of 1 wood."
B,156,Occupation,4+,Storehouse Keeper,,,,,,Goods Provider,"Each time you use the ""resource Market"" action space, you also get your choice of 1 clay or 1 grain."
B,163,Occupation,4+,Pastor,,,,,,Building Resource Provider,"Once you are the only player to live in a house with only 2 rooms, you immediately get 3 wood, 2 clay, 1 reed, and 1 stone (only once)."
B,164,Occupation,4+,Sheep Whisperer,,,,,,Livestock Provider,"Add 2, 5, 8, and 10 to the current round and place 1 sheep on each corresponding round space. At the start of these rounds, you get the sheep."
B,166,Occupation,4+,Cattle Feeder,,,,,,Livestock Provider,"Each time you use the ""Grain Seeds"" action space, you can also buy 1 cattle for 1 food."
